	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	a	aː	znw*	a's; a'tje*	A1	1ste letter van het alfabet	De a van appel of de a van aap?
de	a	aː	znw*	a's; a'tje*	B2	♪ la, noot tussen g en b	
	a-	aː			B2	niet-	atypisch, asymmetrisch, atheïsme
	à	aː	vz*	*	A2*	tot (tussen 2 nummers)	4 à 5
het	A4'tje	aːviːrtje	znw		B1	pagina van 21 cm bij 29 cm	Past je hele cv op een A4’tje?
de	aacht	aːxt	znw		C2	onderaardse kruipgang naar een kelderkamer	
het	aagje	aːxjə	znw		B2	een nieuwsgierig ...	
	aaien	aːjə(n)	ww*	aai, aaide, geaaid*	A2	met je hand strijken	Ik aai mijn kat over haar buik.
de	aal	aːl	znw; znw; znw; znw*	/; /*	C1	paling	
de	aalbes	aːlbɛs	znw*	aalbessen; aalbesje*	B2	kleine en glanzende rode bes	Aalbessen zijn fris zuur en combineren goed met yoghurt.
het	aambeeld	aːmbeːlt	znw*	aambeelden; aambeeldje*	C1	ijzeren blok om werktuigen te smeden	
de	aambeien		znw		B2	opgezwollen bloedvaten bij het rectum	
	aan	aːn	vz; bnw*	*	A1		Ik geef mijn huiswerk aan de leraar.
	aan	aːn	vz; bnw*	*	A2	in contact met	Er hangt een poster aan de muur.
	aan	aːn	vz; bnw*	*	A2	naast, dichtbij	Mijn ouders wonen aan de kust.
	aan	aːn	vz; bnw*	*	B1	door, met (causaal)	Een kwart van de mensen sterft aan kanker.
	aan	aːn	vz; bnw*	*	A2	in actieve modus	Staat de tv nog aan? — Nee, hij staat uit.
	aan	aːn	vz; bnw*	*	A2*	in een romantische relatie	Is het nog aan tussen je broer en Kim?
	aanbellen		ww*	aanbel, belde aan, aangebeld*	B1*	bij iemand op de deurbel drukken	
de	aanbesteding		znw*	aanbestedingen; aanbestedinkje*	C1	opdracht van werk waarop mogelijke uitvoerders reageren	
de	aanbetaling		znw*	aanbetalingen; /*	B2*	eerste deel van geld dat je op termijn in stukken betaalt	
	aanbevelen		ww*	beveel aan, beval aan, aanbevolen*	B2*		
de	aanbeveling		znw*	aanbevelingen; /*	B2*		
	aanbidden		ww*	aanbid, aanbad, aanbeden*	B2*		
de	aanbidder		znw*	aanbidders; /*	B2*		
de	aanbidding		znw*	aanbiddingen; /*	B2*		
	aanbieden		ww*	aanbied, bood aan, aangeboden*	A2	hebben; willen geven	De school biedt gratis taalcursussen aan.
de	aanbieding		znw*	aanbiedingen; aanbiedinkje*	B1*		
de	aanblik		znw*	aanblikken; /*	B2*		
het	aanbod		znw*	/; /*	B1	alle opties die je kan krijgen	Er is maar een klein aanbod aan kleurrijke kleding voor mannen.
het	aanbod		znw*	/; /*	B1	iets dat iemand wil geven	Dank u voor het aanbod, maar ik heb al iets gevonden!
de	aanbouw		znw*	aanbouwen; aanbouwtje*	B2*		
	aanbranden		ww*	brand aan, brandde aan, aangebrand*	B1*		
	aanbreken		ww*	aanbreek, aanbrak, aangebroken*	B2	beginnen	De dag is aangebroken.
	aanbreken		ww*	aanbreek, aanbrak, aangebroken*	C1		Hij heeft de fles wijn al aangebroken.
	aanbrengen		ww*	aanbreng, bracht aan, aangebracht*	A2		
de	aandacht		znw*	/; /*	A2	capaciteit om te luisteren/observeren	Grote neonletters trekken de aandacht.
	aandachtig		bnw*	aandachtige; aandachtiger, aandachtigst*	B1*		
het	aandeel		znw*	aandelen; aandeeltje*	B2	bijdrage	Ik vind de les saai, maar mijn docent heeft daar ook een groot aandeel in.
het	aandeel		znw*	aandelen; aandeeltje*	B2	deel van het kapitaal van een bedrijf	Hij heeft aandelen gekocht op de beurs.
de	aandeelhouder		znw*	aandeelhouders; aandeelhoudertje*	B2*		
de	aandeelhoudster		znw*	aandeelhoudsters; /*	B2*		
	aan de hand	ˌaːn də ˈɦɑnt	bw		A2	bezig; gebeurd	
het	aandenken		znw*	aandenkens; /*	B2*		
	aan de slag	ˌaːn də ˈslɑx	bw		A2	aan het werk	Ik moet weer aan de slag. Tot straks!
zich	aandienen		ww*	dien aan, diende aan, aangediend*	B2*		
	aandoen	aːndun	ww*	doe aan, deed aan, aangedaan*	A2	aan het lichaam doen	De kinderen doen hun schoenen aan.
