	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	a	aː	znw		A1	1ste letter van het alfabet	De a van appel of de a van aap?	1
de	a	aː	znw		B2	♪ la, noot tussen g en b		1
	a-	aː			B2	niet-	atypisch, asymmetrisch, atheïsme	2
	à	aː	vz			tot (tussen 2 nummers)	4 à 5	3
het	A4'tje	aːviːrtje	znw		B1	pagina van 21 cm bij 29 cm	Past je hele cv op een A4’tje?	4
de	aacht	aːxt	znw		C2	onderaardse kruipgang naar een kelderkamer		5
het	aagje	aːxjə	znw		B2	een nieuwsgierig ...		6
	aaien	aːjə(n)	ww		A2	met je hand strijken	Ik aai mijn kat over haar buik.	7
de	aal	aːl	znw		C1	paling		8
de	aalbes	aːlbɛs	znw		B2	kleine en glanzende rode bes	Aalbessen zijn fris zuur en combineren goed met yoghurt.	9
het	aambeeld	aːmbeːlt	znw		C1	ijzeren blok om werktuigen te smeden		10
de	aambeien		znw		B2	opgezwollen bloedvaten bij het rectum		11
	aan	aːn	vz		A1		Ik geef mijn huiswerk aan de leraar.	12
	aan	aːn	vz		A2	in contact met	Er hangt een poster aan de muur.	12
	aan	aːn	vz		A2	naast, dichtbij	Mijn ouders wonen aan de kust.	12
	aan	aːn	vz		B1	door, met (causaal)	Een kwart van de mensen sterft aan kanker.	12
	aan	aːn	bw		A2	in actieve modus	Staat de tv nog aan? — Nee, hij staat uit.	13
	aan	aːn	bw			in een romantische relatie	Is het nog aan tussen je broer en Kim?	13
	aanbellen		ww			bij iemand op de deurbel drukken		14
de	aanbesteding		znw		C1	opdracht van werk waarop mogelijke uitvoerders reageren		15
de	aanbetaling		znw			eerste deel van geld dat je op termijn in stukken betaalt		16
	aanbevelen		ww					17
de	aanbeveling		znw					18
	aanbidden		ww					19
de	aanbidder		znw					20
de	aanbidding		znw					21
	aanbieden		ww		A2	hebben; willen geven	De school biedt gratis taalcursussen aan.	22
de	aanbieding		znw					23
de	aanblik		znw					24
het	aanbod		znw		B1	alle opties die je kan krijgen	Er is maar een klein aanbod aan kleurrijke kleding voor mannen.	25
het	aanbod		znw		B1	iets dat iemand wil geven	Dank u voor het aanbod, maar ik heb al iets gevonden!	25
de	aanbouw		znw					26
	aanbranden		ww					27
	aanbreken		ww		B2	beginnen	De dag is aangebroken.	28
	aanbreken		ww		C1		Hij heeft de fles wijn al aangebroken.	28
	aanbrengen		ww		A2			29
de	aandacht		znw		A2	capaciteit om te luisteren/observeren	Grote neonletters trekken de aandacht.	30
	aandachtig		bnw					31
het	aandeel		znw		B2	bijdrage	Ik vind de les saai, maar mijn docent heeft daar ook een groot aandeel in.	32
het	aandeel		znw		B2	deel van het kapitaal van een bedrijf	Hij heeft aandelen gekocht op de beurs.	32
de	aandeelhouder		znw					33
de	aandeelhoudster		znw					34
	aan de hand	ˌaːn də ˈɦɑnt	bw		A2	bezig; gebeurd		35
het	aandenken		znw					36
