	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	c		znw*	c's; c'tje*	A1	3de letter van het alfabet	
de	c		znw*	c's; c'tje*	B2	♪ do, noot tussen b en d	
	ca.		bw*	*	B2*	circa	
het	cabaret		znw*	cabarets; cabaretje*	B1*	komedisch theater en muziek	
de	cabaretier		znw*	cabaretiers; cabaretiertje*	B1*		
de	cabine		znw*	cabines; cabientje*	B2*		
de	cacao		znw*	/; /*	B2*		
de	cactus		znw*	cactussen; cactusje*	B2*	🌵 (plant)	
het	cadeau		znw*	cadeaus; cadeautje*	A2	iets dat je gratis krijgt	Linda krijgt veel cadeaus voor de baby.
de	cadeaubon		znw*	cadeaubonnen; cadeaubonnetje*	B1*		
de	cadet		znw*	cadets; cadetje*	B2*		
het	café		znw*	cafés; cafeetje*	A2		
de	cafeïne		znw*	/; /*	B2*		
de	cafetaria		znw*	cafetaria's; cafetariaatje*	B1*		
de	caffè latte		znw*	caffè lattes; /*	B2*		
de	caissière		znw*	caissières; caissièretje*	B2*	vrouw die aan kassa werkt	
de	cake		znw*	cakes; cakeje*	A2*		
de	calamiteit		znw*	calamiteiten; /*	B2*		
	calculeren		ww*	calculeer, calculeerde, gecalculeerd*	B2*		
de	calorie		znw*	calorieën; calorietje*	B1*		
het	calvinisme		znw*	/; /*	B2*	soort protestantse religie	
de	camera		znw*	camera's; cameraatje*	A2*		
de	camion		znw*	camions; camionnetje*	B2*	vrachtwagen	
de	camouflage		znw*	camouflages; /*	B2*		
	camoufleren		ww*	camoufleer, camoufleerde, gecamoufleerd*	B2*		
	camp		znw; bnw*	/; /, /*	B2*		
de	campagne		znw*	campagnes; campagnetje*	B2*		
de	camper		znw*	campers; campertje*	B1*		
de	camping		znw*	campings; campinkje*	B1*		
de	cannabis		znw*	/; /*	B2*		
de	cao		znw*	cao's; /*	B2*	collectieve arbeidsovereenkomst	
	capabel		bnw*	capabele; capabeler, capabelst*	B2*		
de	capaciteit		znw*	capaciteiten; /*	B2*		
de	cape		znw*	capes; capeje*	B2*		
	capituleren		ww*	capituleer, capituleerde, gecapituleerd*	B2*		
de	cappuccino		znw*	cappuccino's; cappuccinootje*	B1*		
