	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	e		znw*	e's; e'tje*	A1	5de letter van het alfabet	
de	e		znw*	e's; e'tje*	B2	♪ mi, noot tussen d en f	
	e.a.		afk*	*	B2*	en andere, en anderen	
de	eb		znw*	/; /*	B1*		
	ebben		ww; bnw*	eb, ebde, geëbd*	B2*		
het	e-book		znw*	e-books; /*	B2*		
de	echo		znw*	echo's; echootje*	B2*	nagalm	
de	echo		znw*	echo's; echootje*	B2*	afkorting van echogram, echografie	
de	echo		znw*	echo's; echootje*	B2*	herhaling van iets dat gezegd of (muziek) gespeeld is	
de	echografie		znw*	echografieën; /*	B2*	lokalisering door weerkaatst geluid, bv. baby in buik	
	echt		bnw; znw*	echte; echter, echtst*	A2*	reëel	
de	echt		bnw; znw*	/; /*	A2*	huwelijk	
	echtelijk		bnw*	echtelijke; echtelijker, echtelijkst*	B2*	wat te maken heeft met het huwelijk	
	echter		bw*	*	A2*	maar (formeel)	
de	echtgenoot		znw*	echtgenoten; /*	B1*		
de	echtgenote		znw*	echtgenotes; /*	B1*		
het	echtpaar		znw*	echtparen; echtpaartje*	B1*		
de	echtscheiding		znw*	echtscheidingen; /*	B1*		
	eco-						
de	ecologie		znw*	/; /*	B2*		
	ecologisch		bnw*	ecologische; ecologischer, /*	B2*		
de	ecologische voetafdruk						
de	economie		znw*	economieën; economietje*	B1*		
	economisch		bnw*	economische; economischer, /*	B1*		
de	econoom		znw*	economen; /*	B1*	expert in de economie	
het	eczeem		znw*	eczemen; /*	B2*		
	e.d.		afk*	*	B2*	en dergelijke	
	edel		bnw*	edele; edeler, edelst*	B2*		
de	edele delen						
het	edelgas		znw*	edelgassen; /*	B2*	categorie gassen: he­li­um, ne­on, ar­gon, kryp­ton, ...	
het	edelhert		znw*	edelherten; edelhertje*	B2*		
de	edelman		znw*	edelmannen; /*	B2*		
de	edelsteen		znw*	edelstenen; edelsteentje*	B2*		
de	edelvrouw		znw*	edelvrouwen; /*	B2*		
de	editie		znw*	edities; /*	B2*		
	educatief		bnw*	educatieve; educatiever, educatiefst*	B2*		
de	eed		znw*	eden; eedje*	B2*		
de	eega		znw*	eega's; eegaatje*	B2*		
de	eekhoorn		znw*	eekhoorns; eekhoorntje*	B1*		
het	eelt		znw*	/; eeltje*	B1*		
	een		tw; znw; *	*	A1	↔ de/het	
	één				A1	1	
de	eend		znw*	eenden; eendje*	A2*	soort watervogel; 🦆	
	eenduidig		bnw*	eenduidige; eenduidiger, eenduidigst*	B2*		
	eeneiig		bnw*	eeneiige; /, /*	B2*		
de	eengezinswoning		znw*	eengezinswoningen; eengezinswoninkje*	B1*		
de	eenheid		znw*	eenheden; eenheidje*	B2*		
	eenkennig		bnw*	eenkennige; eenkenniger, eenkennigst*	B2*		
de	eenling		znw*	eenlingen; eenlingetje*	B2*		
	eenmaal		bw*	*	B1*	één keer	
	eenmalig		bnw*	eenmalige; /, /*	B1*		
	eenpersoons-						
	eens		bw; ovw; bnw*	*	A2*	ooit, één keer	
	eens		bw; ovw; bnw*	*	A2*	akkoord	
	eensgezind		bnw*	eensgezinde; eensgezinder, eensgezindst*	B2*		
	eensklaps		bw*	*	B2*		
	eentje		vnw*	*	A2*	één stuk	
	eentonig		bnw*	eentonige; eentoniger, eentonigst*	B2*		
de	eenvoud		znw*	/; /*	B2*		
	eenvoudig		bnw*	eenvoudige; eenvoudiger, eenvoudigst*	B1*		
	eenvoudigweg		bw*	*	B2*		
de	eenwording		znw*	eenwordingen; /*	B2*		
	eenzaam		bnw*	eenzame; eenzamer, eenzaamst*	A2		
de	eenzaat		znw*	eenzaten; eenzaatje*	B2*	(BE) persoon die graag alleen is	
	eenzelfde		vnw*	*	B2*		
	eenzijdig		bnw*	eenzijdige; eenzijdiger, eenzijdigst*	B2*		
	eer		ovw; znw; bw*	*	B1*	voordat (schrijftaal)	
de	eer		ovw; znw; bw*	/; eertje*	B1*		
het	eerbetoon		znw*	eerbetonen; /*	B2*		
de	eerbied		znw*	/; /*	B2*		
	eerder		bnw*	/; eerder, /*	A2*	liever, vroeger	
	eergisteren		bw*	*	B1*		
	eerlijk		bnw*	eerlijke; eerlijker, eerlijkst*	A2		
	eerst		bw*	*	A1	1st	
	eerste		tw; znw; znw*	*	A2*		
	eersteklas		bnw*	/; /, /*	B1*		
