	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	e				A1	5de letter van het alfabet		1
de	e				B2	♪ mi, noot tussen d en f		1
	e.a.					en andere, en anderen		2
de	eb							3
	ebben							4
het	e-book							5
de	echo		znw			nagalm		6
de	echo		znw			afkorting van echogram, echografie		6
de	echo		znw			herhaling van iets dat gezegd of (muziek) gespeeld is		6
de	echografie					lokalisering door weerkaatst geluid, bv. baby in buik		7
	echt					reëel		8
de	echt					huwelijk		9
	echtelijk					wat te maken heeft met het huwelijk		10
	echter					maar (formeel)		11
de	echtgenoot							12
de	echtgenote							13
het	echtpaar							14
de	echtscheiding							15
	eco-							16
de	ecologie							17
	ecologisch							18
de	ecologische voetafdruk							19
de	economie							20
	economisch							21
de	econoom					expert in de economie		22
het	eczeem							23
	e.d.		afk			en dergelijke		24
	edel							25
de	edele delen							26
het	edelgas					categorie gassen: he­li­um, ne­on, ar­gon, kryp­ton, ...		27
het	edelhert							28
de	edelman							29
de	edelsteen							30
de	edelvrouw							31
de	editie							32
	educatief							33
de	eed							34
de	eega							35
de	eekhoorn							36
het	eelt							37
	een				A1	↔ de/het		38
	één				A1	1		39
de	eend					soort watervogel; 🦆		40
	eenduidig							41
	eeneiig							42
de	eengezinswoning							43
de	eenheid							44
	eenkennig							45
de	eenling							46
	eenmaal					één keer		47
	eenmalig							48
	eenpersoons-							49
	eens					ooit, één keer		50
	eens					akkoord		50
	eensgezind							51
	eensklaps							52
	eentje					één stuk		53
	eentonig							54
de	eenvoud							55
	eenvoudig							56
	eenvoudigweg							57
de	eenwording							58
	eenzaam				A2			59
de	eenzaat					(BE) persoon die graag alleen is		60
	eenzelfde							61
	eenzijdig							62
	eer					voordat (schrijftaal)		63
de	eer							64
het	eerbetoon							65
de	eerbied							66
	eerder					liever, vroeger		67
	eergisteren							68
	eerlijk				A2			69
	eerst				A1	1st		70
	eerste							71
	eersteklas							72
	eervol							73
	eerzuchtig							74
de	eetlepel							75
de	eettafel							76
de	eeuw					periode van 100 jaar		77
	eeuwenlang							78
	eeuwenoud							79
	eeuwig							80
de	eeuwigheid							81
de	eeuwwisseling							82
het	effect							83
de	effectenbeurs							84
	effectief							85
	effen							86
	efficiënt							87
	egaal							88
de	egel							89
het	ego							90
	egoïstisch							91
de	ehbo							92
het	ei				A2	🥚		93
de	eicel							94
	eigen				A2	van jezelf/zichzelf		95
de	eigenaar					persoon van wie het is		96
	eigenaardig					vreemd, bizar, uniek		97
de	eigenares							98
het	eigenbelang							99
het	eigendom							100
	eigengereid							101
	eigenhandig							102
	eigenlijk		bw		B1	werkelijk, feitelijk		103
	eigenlijk		bnw					104
de	eigennaam							105
de	eigenschap							106
	eigentijds							107
	eigenwijs							108
	eigenzinnig							109
de	eik							110
de	eikel							111
het	eiland				A2			112
het	eind							113
het	einde				A2	↔ begin		114
de	eindejaarspremie					(BE)		115
	eindelijk					na een lange tijd		116
	eindeloos							117
het	eindexamen							118
	eindigen				A2	stoppen		119
het	eindrapport							120
de	eindredacteur							121
de	eindstreep							122
het	eindwerk							123
de	eis				B1			124
	eisen							125
de	eiser							126
de	eiseres							127
het	eiwit							128
het	EK							129
de	ekster							130
het	elan							131
het	elastiek							132
het	elastiekje							133
	elders				A2			134
het	electoraat							135
	elegant							136
de/het	elektra							137
de	elektricien							138
de	elektriciteit							139
	elektrisch					op energie		140
de	elektronica							141
	elektronisch							142
het	element							143
	elementair							144
	elf				A1			145
de	elf				A2			146
het	elftal							147
	elimineren							148
	elitair							149
de	elite							150
	elk				A1			151
	elkaar				A2			152
de	elleboog							153
de	ellende							154
	ellendig							155
de	e-mail							156
de	emancipatie							157
het	embargo							158
het	embleem							159
het	embryo							160
de	emmer				A2			161
de	emoji							162
het	emoticon							163
de	emotie							164
	emotioneel							165
	empirisch 							166
	en		nvw			&	Dit zijn Anna en Johan.	167
	en		nvw			+	Twee en twee is vier.	167
de	enclave							168
de	encyclopedie							169
