	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	i		znw*	i's; i'tje*	A2*		
het	IBAN		znw*	/; /*	B2*	bankrekeningnummer	
de	IC		znw*	ic's; /*	B2*	intensive care; ziekenhuisafdeling voor ernstige situaties	
de/het	icoon		znw*	iconen; ikoontje*	B2*		
het	icoontje					pictogram op je computer 	
de	ICT		znw*	/; /*	B2*	informatica	
de	ID					identiteitskaart	
	ideaal		znw; bnw*	ideale; idealer, ideaalst*	B1*	perfect	
het	ideaal		znw; bnw*	idealen; ideaaltje*	B1*		
het	idee		znw*	ideeën; ideetje*	A2		
	idem		bw*	*	B2*		
	identiek		bnw*	identieke; identieker, identiekst*	B2*		
	identificeren		ww*	identificeer, identificeerde, geïdentificeerd*	B2*		
de	identiteit		znw*	identiteiten; identiteitje*	B1*		
de	identiteitskaart		znw*	identiteitskaarten; identiteitskaartje*	B1*		Ik heb geen identiteitskaart, alleen een paspoort.
de	ideologie		znw*	ideologieën; ideologietje*	B2*		
het	idioom		znw*	idiomen; idioompje*	B2*		
	idioot		bnw; znw*	idiote; idioter, idiootst*	B1*		
de	idioot		bnw; znw*	idioten; idiootje*	B1*		
	idolaat		bnw*	idolate; idolater, idolaatst*	B2*		
het	idool		znw*	idolen; idooltje*	B1*		
	idyllisch		bnw*	idyllische; idyllischer, /*	B2*		
	ie		vnw*	*	B1*		
	ieder		vnw*	*	A2	elk	
	iedereen		vnw*	*	A2	alle personen	
	iemand		vnw*	*	A2	een persoon	
	iets		vnw*	*	A2	een ding	
	iets		vnw*	*	A2	een beetje	
	ietwat		bw*	*	B2*	een klein beetje	
de	i-grec		znw*	i-grecs; /*	B2*	"letter ""y"""	
	ijdel		bnw*	ijdele; ijdeler, ijdelst*	B2*		
de	ijdeltuit		znw*	ijdeltuiten; ijdeltuitje*	B2*		
	ijken		ww*	ijk, ijkte, geijkt*	B2*		
de	ijl		bnw*	ijle; ijler, ijlst*	B2*		
	ijlen		ww*	ijl, ijlde, geijld*	B2*		
	ijlings		bw*	*	B2*		
het	ijs		znw*	/; ijsje*	A2	bevroren water; 🧊	
het	ijs		znw*	/; ijsje*	A2	soort dessert; 🍨	
de	ijsbaan		znw*	ijsbanen; ijsbaantje*	B1*		
de	ijsbeer		znw*	ijsberen; ijsbeertje*	B1	witte beer die woont op de Noordpool	
	ijsberen		ww*	ijsbeer, ijsbeerde, geijsbeerd*	B1*		
de	ijsberg		znw*	ijsbergen; ijsbergje*	B1*		
de	ijsbergsla		znw*	/; /*	B2*		
het	ijsblokje					🧊	
het	ijshockey		znw*	/; /*	B1*		
het	ijsje						
de	ijskast		znw*	ijskasten; ijskastje*	B1*		
de	ijver		znw*	/; /*	B2*		
	ijveren voor						
	ijverig		bnw*	ijverige; ijveriger, ijverigst*	B1*		
de	ijzel		znw*	/; /*	B1*		
	ijzelen		ww*	/, /, geijzeld*	B1*		
het	ijzer		znw*	ijzers; ijzertje*	A2		
	ijzeren		bnw*	/; /, /*	B1*		
	ijzersterk		bnw*	ijzersterke; /, /*	B1*		
	ijzig		bnw*	ijzige; ijziger, ijzigst*	B1*		
	ik	ɪk	vnw; znw*	*	A1	ego	
	illegaal		znw; bnw*	illegale; illegaler, illegaalst*	A2*		
de	illusie		znw*	illusies; /*	B2*		
	illuster		bnw*	illustere; illusterder, illusterst*	B2*		
de	illustratie		znw*	illustraties; /*	B2*		
	illustreren		ww*	illustreer, illustreerde, geïllustreerd*	B2*		
het	image		znw*	images; /*	B2*		
het	imago		znw*	imago's; imagootje*	B2*		
de	imam		znw*	imams; imampje*	A2*		
	imiteren		ww*	imiteer, imiteerde, geïmiteerd*	B2*		
	immens		bnw*	immense; /, /*	B2*		
	immer		bw*	*	B2*		
	immers		bw*	*	B1		
	immigreren		ww*	immigreer, immigreerde, geïmmigreerd*	B2*		
de	immobiliën		znw*	immobiliën; /*	B2*	(BE) vastgoed	
	immuun		bnw*	immune; immuner, immuunst*	B2*		
de	impact		znw*	impacts; /*	B2*		
de	impasse		znw*	impasses; /*	B2*		
het	imperiaal		bnw; znw; znw*	/; /*	B2*		
het	imperium		znw*	imperia; imperiumpje*	B2*		
	impliceren		ww*	impliceer, impliceerde, geïmpliceerd*	B2*		
	impliciet		bnw*	impliciete; implicieter, implicietst*	B2*		
	imponeren		ww*	imponeer, imponeerde, geïmponeerd*	B2*		
de	import		znw*	importen; /*	B2*		
	importeren		ww*	importeer, importeerde, geïmporteerd*	B1*		
	imposant		bnw*	imposante; imposanter, imposantst*	B2*		
	impotent		bnw*	impotente; impotenter, impotentst*	B2*		
de	impressie		znw*	impressies; impressietje*	B2*		
	improviseren		ww*	improviseer, improviseerde, geïmproviseerd*	B2*		
de	impuls		znw*	impulsen; impulsje*	B2*		
	impulsief		bnw*	impulsieve; impulsiever, impulsiefst*	B2*		
	in	ɪn	vz*	*	A1	↔ uit	
	inbegrepen		bnw*	/; /, /*	B2*		
het	inbegrip		znw*	/; /*	B2*		
de	inboedel		znw*	inboedels; inboedeltje*	B2*		
de	inboedelverzekering		znw*	inboedelverzekeringen; inboedelverzekeringetje*	B2*		
de	inbraak		znw*	inbraken; inbraakje*	B1*		
	inbreken		ww*	inbreek, inbrak, ingebroken*	B1*		
de	inbreker		znw*	inbrekers; inbrekertje*	B1*		
de	inbreng		znw*	inbrengen; /*	B2*		
	inbrengen		ww*	inbreng, inbracht, ingebracht*	B2*		
de	inbreuk		znw*	inbreuken; inbreukje*	B2*		
	inburgeren		ww*	burger in, burgerde in, ingeburgerd*	B2*		
de	inburgering		znw*	inburgeringen; /*	B2*		
	incasseren		ww*	incasseer, incasseerde, geincasseerd*	B2*		
de	incest		znw*	/; /*	B2*		
	inchecken		ww*	incheck, incheckte, ingecheckt*	B1*		
het	incident		znw*	incidenten; incidentje*	B2*		
	incidenteel		bnw*	incidentele; incidenteler, incidenteelst*	B2*		
	incl.		bnw; vz*	/; /, /*	B2*		
	inclusief		bnw; vz*	inclusieve; inclusiever, inclusiefst*	B2*		
	incognito		znw; bw*	*	B2*		
	incontinent		bnw*	incontinente; incontinenter, incontinentst*	B2*		
de	incubatietijd		znw*	incubatietijden; /*	B2*		
de	IND					(NL)	
zich	indekken		ww*	indek, indekte, ingedekt*	B2*		
	indelen		ww*	indeel, indeelde, ingedeeld*	B1*		
	inderdaad		bw*	*	A2		
	indertijd		bw*	*	B1		
de	index		znw*	indexen; indexje*	B2*		
de	indiaan		znw*	indianen; indiaantje*	B1*		
de	indicatie		znw*	indicaties; /*	B2*		
	indien		ovw*	*	B1		
	indienen		ww*	dien in, indiende, ingediend*	B1*		
	indirect		bnw*	indirecte; indirecter, indirectst*	B2*		
de/het	individu		znw*	individu's; individuutje*	B2*		
het	individualisme		znw*	/; /*	B2*		
de	individualist		znw*	individualisten; individualistje*	B2*		
	individueel		bnw*	individuele; individueler, individueelst*	A2		
	indringend		bnw*	indringende; indringender, indringendst*	B2*		
de	indringer		znw*	indringers; indringertje*	B2*		
de	indruk		znw*	indrukken; indrukje*	A2		
	indrukwekkend		bnw*	indrukwekkende; indrukwekkender, indrukwekkendst*	B1*		
de	industrie		znw*	industrieën; industrietje*	A2		
het	industrieterrein		znw*	industrieterreinen; industrieterreintje*	B1*		
	ineen		bw*	*	B2*		
	ineens		bw*	*	A2		
	inenten		ww*	ent in, inentte, ingeënt*	B2*		
het	infarct		znw*	infarcten; infarctje*	B2*		
de	infectie		znw*	infecties; infectietje*	B2*		
	inferieur		bnw*	inferieure; inferieurder, inferieurst*	B2*		
	infiltreren		ww*	infiltreer, infiltreerde, geïnfiltreerd*	B2*		
de	infinitief		znw*	infinitieven; /*	B2*		
de	inflatie		znw*	inflaties; /*	B2*		
de	info		znw*	info's; infootje*	B1*		
de	informant		znw*	informanten; /*	B2*		
de	informateur		znw*	informateurs; /*	B2*		
de	informatica		znw*	/; /*	B2*		
de	informatie		znw*	informaties; /*	A2		
	informatief		bnw*	informatieve; informatiever, informatiefst*	B2*		
de	informatietechnologie		znw*	informatietechnologieën; /*	B2*		
	informeel		bnw*	informele; informeler, informeelst*	B2*		
	informeren		ww*	informeer, informeerde, geïnformeerd*	B1*	info geven	
	informeren naar					info vragen of krijgen	
de	infrastructuur		znw*	infrastructuren; /*	B2*		
het	infuus		znw*	infuzen; infuusje*	B1*		
	ing.		znw*	/; /*	B2*	ingenieur	
	ingaan		ww*	inga, ging in, ingegaan*	A2		
	ingaan op				B1		
de	ingang		znw*	ingangen; ingangetje*	A1	entree	
de	ingenieur		znw*	ingenieurs; ingenieurtje*	B2*		
	ingenieus		bnw*	ingenieuze; ingenieuzer, ingenieust*	B2*		
	ingenomen met						
	ingetogen		bnw*	/; ingetogener, ingetogenst*	B2*		
de	ingeving		znw*	ingevingen; /*	B2*		
de	ingewanden						
	ingewikkeld		bnw*	ingewikkelde; ingewikkelder, ingewikkeldst*	B1*		
het	ingrediënt		znw*	ingrediënten; ingrediëntje*	B1*		
de	ingreep		znw*	ingrepen; ingreepje*	B1*		
	ingrijpen		ww*	grijp in, ingreep, ingegrepen*	B1*		
	ingrijpend		bnw*	ingrijpende; ingrijpender, ingrijpendst*	B2*		
	inhaken op						
	inhalen		ww*	inhaal, haalde in, ingehaald*	B1*		
de	inham		znw*	inhammen; inhammetje*	B2*		
	inheems		bnw*	inheemse; inheemser, inheemst*	B2*		
de	inhoud		znw*	inhouden; /*	B1*	wat in iets zit	
	inhoudelijk		bnw*	inhoudelijke; inhoudelijker, inhoudelijkst*	B2*		
	inhouden		ww*	inhou, hield in, ingehouden*	B1*		
zich	inhouden		ww*	inhoud, hield in, ingehouden*	B1*		
	inhuren		ww*	huur in, inhuurde, ingehuurd*	B1*		
de	initialen						
het	initiatief		znw*	initiatieven; initiatiefje*	B1*		
de	initiatiefnemer		znw*	initiatiefnemers; /*	B2*		
de	injectie		znw*	injecties; /*	B1*		
de	inkeer		znw*	/; /*	B2*		
de	inkom		znw*	/; /*	B1*		
het	inkomen		ww; znw*	inkomens; inkomentje*	B1*		
	inkomen		ww; znw*	kom in, inkwam, ingekomen*	B1*		
de	inkomsten		znw*	inkomsten; /*	B1*		
de	inkomstenbelasting		znw*	inkomstenbelastingen; /*	B2*		
de	inkoop		znw*	inkopen; inkoopje*	B1*		
de	inkopen		ww*	koop in, kocht in, ingekocht*	B1*		
	inkopen		ww*	koop in, kocht in, ingekocht*	B1*		
	inkrimpen		ww*	krimp in, kromp in, ingekrompen*	B2*		
de	inkt		znw*	inkten; /*	B1*		
de	inktvis		znw*	inktvissen; inktvisje*	B2*		
	inlassen		ww*	las in, inlaste, ingelast*	B2*		
zich	inlaten met						
	inleiden		ww*	leid in, inleidde, ingeleid*	B2*		
de	inleiding		znw*	inleidingen; inleidinkje*	B1*		
	inleveren		ww*	lever in, leverde in, ingeleverd*	B1*		
	inlichten		ww*	inlicht, inlichtte, ingelicht*	B1*		
de	inlichtingen						
de	inlichtingendienst		znw*	inlichtingendiensten; inlichtingendienstje*	B2*		
	inluiden		ww*	inluid, luidde in, ingeluid*	B2*		
	inmaken		ww*	maak in, maakte in, ingemaakt*	B2*		
het	in memoriam		znw; bw*	in memoriams; /*	B2*		
de	inmenging		znw*	inmengingen; /*	B2*		
	inmiddels		bw*	*	B1*		
	innemen		ww*	inneem, innam, ingenomen*	B1*		
	innemend		bnw*	innemende; innemender, innemendst*	B2*		
	innen		ww*	in, inde, geïnd*	B2*		
	innerlijk		bnw; znw*	innerlijke; innerlijker, innerlijkst*	B2*		
het	innerlijk		bnw; znw*	innerlijken; /*	B2*		
	innig		bnw*	innige; inniger, innigst*	B2*		
de	innovatie		znw*	innovaties; /*	B2*		
	inpakken		ww*	inpak, inpakte, ingepakt*	A2*		
	in petto		bw*	*	B2*		
de	inpoldering		znw*	inpolderingen; /*	B2*		
	inrichten		ww*	inricht, richtte in, ingericht*	B1*		
de	inrichting		znw*	inrichtingen; /*	B1*		
	inruilen		ww*	ruil in, inruilde, ingeruild*	B2*		
	inschakelen		ww*	inschakel, inschakelde, ingeschakeld*	B1*		
	inschatten		ww*	schat in, inschatte, ingeschat*	B1*		
	inschrijven		ww*	inschrijf, inschreef, ingeschreven*	B1*		
de	inschrijving		znw*	inschrijvingen; /*	B2*		
het	insect		znw*	insecten; insectje*	B1*		
de	insider		znw*	insiders; /*	B2*		
	insinueren		ww*	insinueer, insinueerde, geïnsinueerd*	B2*		
	inslaan		ww*	insla, sloeg in, ingeslagen*	B2*		
de	inslag		znw*	inslagen; inslagje*	B2*		
	inslapen		ww*	slaap in, insliep, ingeslapen*	B1*		
	inspannen		ww*	span in, inspande, ingespannen*	B1*		
zich	inspannen		ww*	span in, inspande, ingespannen*	B1*		
zich	inspannen voor						
de	inspanning		znw*	inspanningen; /*	B2*		
	inspecteren		ww*	inspecteer, inspecteerde, geïnspecteerd*	B1*		
de	inspecteur		znw*	inspecteurs; inspecteurtje*	B2*		
	inspelen op						
de	inspiratie		znw*	inspiraties; /*	B1*		
	inspireren		ww*	inspireer, inspireerde, geïnspireerd*	B2*		
de	inspraak		znw*	/; /*	B2*		
	inspreken		ww*	inspreek, insprak, ingesproken*	B2*		
	inspringen		ww*	spring in, insprong, ingesprongen*	B2*		
	inspringen op						
	instaan voor						
	instabiel		bnw*	instabiele; instabieler, instabielst*	B2*		
de	installatie		znw*	installaties; /*	B1*		
	installeren		ww*	installeer, installeerde, geïnstalleerd*	B1*		
zich	installeren		ww*	installeer, installeerde, geïnstalleerd*	B1*		
	instant-						
de	instantie		znw*	instanties; instantietje*	B2*		
	instappen		ww*	instap, stapte in, ingestapt*	A2*		
	instellen		ww*	instel, stelde in, ingesteld*	B2*		
zich	instellen op						
de	instelling		znw*	instellingen; instellinkje*	B1*		
	instemmen met						
de	instemming		znw*	instemmingen; /*	B2*		
het	instinct		znw*	instincten; instinctje*	B2*		
het	instituut		znw*	instituten; instituutje*	B2*		
	instorten		ww*	instort, instortte, ingestort*	B1*		
de	instroom		znw*	instromen; instroompje*	B2*		
de	instructeur		znw*	instructeurs; /*	B1*		
de	instructie		znw*	instructies; /*	B2*		
	instrueren		ww*	instrueer, instrueerde, geïnstrueerd*	B2*		
het	instrument		znw*	instrumenten; instrumentje*	B1*		
de	insuline		znw*	/; /*	B2*		
	intact		bnw*	intacte; intacter, intactst*	B2*		
het	intakegesprek		znw*	intakegesprekken; intakegesprekje*	B2*		
	integendeel		bw*	*	B2*		
	integer		bnw*	integere; integerder, integerst*	B2*		
	integraal		znw; bnw*	integrale; integraler, integraalst*	B2*		
