	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	i							1
het	IBAN					bankrekeningnummer		2
de	IC					intensive care; ziekenhuisafdeling voor ernstige situaties		3
de/het	icoon							4
het	icoontje					pictogram op je computer 		5
de	ICT					informatica		6
de	ID					identiteitskaart		7
	ideaal					perfect		8
het	ideaal							9
het	idee				A2			10
	idem							11
	identiek							12
	identificeren							13
de	identiteit							14
de	identiteitskaart						Ik heb geen identiteitskaart, alleen een paspoort.	15
de	ideologie							16
het	idioom							17
	idioot							18
de	idioot							19
	idolaat		bnw					20
het	idool							21
	idyllisch		bnw					22
	ie							23
	ieder				A2	elk		24
	iedereen				A2	alle personen		25
	iemand				A2	een persoon		26
	iets				A2	een ding		27
	iets				A2	een beetje		27
	ietwat					een klein beetje		28
de	i-grec					letter "y"		29
	ijdel							30
de	ijdeltuit							31
	ijken							32
de	ijl							33
	ijlen							34
	ijlings							35
het	ijs				A2	bevroren water; 🧊		36
het	ijs				A2	soort dessert; 🍨		36
de	ijsbaan							37
de	ijsbeer				B1	witte beer die woont op de Noordpool		38
	ijsberen							39
de	ijsberg							40
de	ijsbergsla							41
het	ijsblokje					🧊		42
het	ijshockey							43
het	ijsje							44
de	ijskast							45
de	ijver							46
	ijveren voor							47
	ijverig							48
de	ijzel							49
	ijzelen							50
het	ijzer				A2			51
	ijzeren		bnw					52
	ijzersterk		bnw					53
	ijzig		bnw					54
	ik	ɪk			A1	ego		55
	illegaal							56
de	illusie							57
	illuster							58
de	illustratie							59
	illustreren							60
het	image							61
het	imago							62
de	imam							63
	imiteren							64
	immens							65
	immer							66
	immers				B1			67
	immigreren							68
de	immobiliën					(BE) vastgoed		69
	immuun							70
de	impact							71
de	impasse							72
het	imperiaal							73
het	imperium							74
	impliceren							75
	impliciet							76
	imponeren							77
de	import							78
	importeren							79
	imposant							80
	impotent							81
de	impressie							82
	improviseren							83
de	impuls							84
	impulsief							85
	in	ɪn			A1	↔ uit		86
	inbegrepen							87
het	inbegrip							88
de	inboedel							89
de	inboedelverzekering							90
de	inbraak							91
	inbreken							92
de	inbreker							93
de	inbreng							94
	inbrengen							95
de	inbreuk							96
	inburgeren							97
de	inburgering							98
	incasseren							99
de	incest							100
	inchecken							101
het	incident							102
	incidenteel							103
	incl.		afk					104
	inclusief							105
	incognito							106
	incontinent							107
de	incubatietijd							108
de	IND					(NL)		109
zich	indekken							110
	indelen							111
	inderdaad				A2			112
	indertijd				B1			113
de	index							114
de	indiaan							115
de	indicatie							116
	indien				B1			117
	indienen							118
	indirect							119
de/het	individu							120
het	individualisme							121
de	individualist							122
	individueel				A2			123
	indringend							124
de	indringer							125
de	indruk				A2			126
	indrukwekkend							127
de	industrie				A2			128
het	industrieterrein							129
	ineen							130
	ineens				A2			131
	inenten							132
het	infarct							133
de	infectie							134
	inferieur							135
	infiltreren							136
de	infinitief							137
de	inflatie							138
de	info							139
de	informant							140
de	informateur							141
de	informatica							142
de	informatie				A2			143
	informatief							144
de	informatietechnologie							145
	informeel							146
	informeren					info geven		147
	informeren naar					info vragen of krijgen		148
de	infrastructuur							149
het	infuus							150
	ing.		afk			ingenieur		151
	ingaan				A2			152
	ingaan op				B1			153
de	ingang				A1	entree		154
de	ingenieur							155
	ingenieus							156
	ingenomen met							157
	ingetogen							158
de	ingeving							159
de	ingewanden							160
	ingewikkeld							161
het	ingrediënt							162
de	ingreep							163
	ingrijpen							164
	ingrijpend							165
	inhaken op							166
	inhalen							167
de	inham							168
	inheems							169
de	inhoud					wat in iets zit		170
	inhoudelijk							171
	inhouden							172
zich	inhouden							173
	inhuren							174
de	initialen							175
het	initiatief							176
de	initiatiefnemer							177
de	injectie							178
de	inkeer							179
de	inkom							180
het	inkomen							181
	inkomen							182
de	inkomsten							183
de	inkomstenbelasting							184
de	inkoop							185
de	inkopen							186
	inkopen							187
	inkrimpen							188
de	inkt							189
de	inktvis							190
	inlassen							191
zich	inlaten met							192
	inleiden							193
de	inleiding							194
	inleveren							195
	inlichten							196
de	inlichtingen							197
de	inlichtingendienst							198
	inluiden							199
	inmaken							200
het	in memoriam							201
de	inmenging							202
	inmiddels							203
	innemen							204
	innemend							205
	innen							206
	innerlijk							207
het	innerlijk							208
	innig							209
de	innovatie							210
	inpakken							211
	in petto							212
de	inpoldering							213
	inrichten							214
de	inrichting							215
	inruilen							216
	inschakelen							217
	inschatten							218
	inschrijven							219
de	inschrijving							220
het	insect							221
de	insider							222
	insinueren							223
	inslaan							224
de	inslag							225
	inslapen							226
	inspannen							227
zich	inspannen							228
zich	inspannen voor							229
de	inspanning							230
	inspecteren							231
de	inspecteur							232
	inspelen op							233
de	inspiratie							234
	inspireren							235
de	inspraak							236
	inspreken							237
	inspringen							238
	inspringen op							239
	instaan voor							240
	instabiel							241
de	installatie							242
	installeren							243
zich	installeren							244
	instant-							245
de	instantie							246
	instappen							247
	instellen							248
zich	instellen op							249
de	instelling							250
	instemmen met							251
de	instemming							252
het	instinct							253
het	instituut							254
	instorten							255
de	instroom							256
de	instructeur							257
de	instructie							258
	instrueren							259
het	instrument							260
de	insuline							261
	intact							262
het	intakegesprek							263
	integendeel							264
	integer							265
	integraal							266
	integreren							267
het	intellect							268
	intellectueel							269
	intelligent							270
de	intelligentie							271
	intens							272
	intensief							273
de	intensive care							274
de	intentie							275
de	interactie							276
	interactief							277
de	intercity							278
de	intercommunale							279
	interessant							280
de	interesse							281
	interesseren							282
zich	interesseren							283
het	interieur							284
de	interimaris							285
het	interimbureau							286
de	interland							287
de	interliner							288
het	intermezzo							289
	intern							290
het	internaat							291
	internationaal							292
het	internet							293
de	interpretatie							294
	interpreteren							295
de	interpunctie							296
de	interventie							297
het	interview							298
	interviewen							299
	intiem							300
	intimideren							301
de	intimiteit							302
de	intrede							303
de	intrek							304
	intrekken							305
de	intrigant							306
de	intrige							307
	intrigeren							308
de	introducé							309
	introduceren							310
de	introductie							311
	introvert							312
de	intuïtie							313
	intussen							314
de	inval							315
	invalide							316
	invallen							317
de	invalshoek							318
de	invasie							319
de	inventaris							320
	inventariseren							321
	inventief							322
	investeren							323
de	investering							324
de	invloed							325
	invoeren							326
	invriezen							327
	invullen							328
	inwendig							329
	inwijden							330
	inwijden in							331
	inwijken							332
	inwilligen							333
de	inwoner							334
de	inzage							335
	inzake							336
	inzamelen							337
	inzenden							338
de	inzending							339
de	inzet							340
	inzetbaar							341
	inzetten							342
zich	inzetten							343
het	inzicht							344
	inzien							345
het	inzien							346
de	inzinking							347
	inzitten over							348
de	inzittende							349
het	IOC							350
	i.p.v.							351
het	IQ							352
de	ironie							353
	ironisch							354
	irritant							355
de	irritatie							356
de	islam							357
	i.s.m.							358
het	isolement							359
	isoleren							360
de	IT							361
	Italiaans							362
	Italië							363
	italisch				C1	cursief		364
het	item							365
	i.t.t.							366
	i.v.m.							367
