	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	j		znw*	j's; j'tje*	A1	10de letter van het alfabet	
	ja		tsw*	*	A1	↔ nee	
het	jaar		znw*	jaren; jaartje*	A1	periode van 365 dagen	
de	jaargang		znw*	jaargangen; /*	B2*		
het	jaargetijde		znw*	jaargetijden; /*	B1*	seizoen	
de	jaarkaart		znw*	jaarkaarten; /*	B2*		
	jaarlijks		bnw*	jaarlijkse; /, /*	B1*		
het	jaartal		znw*	jaartallen; jaartalletje*	B1	een getal dat voor een jaar staat	
het	jaarverslag		znw*	jaarverslagen; /*	B2*		
de	jaarwisseling		znw*	jaarwisselingen; /*	B1*		
de	jacht		znw; znw; znw*	jachten; jachtje*	B2*		
het	jacht		znw; znw; znw*	jachten; jachtje*	B2*		
	jachtig		bnw*	jachtige; jachtiger, jachtigst*	B2*		
het	jack		znw*	jacks; jackje*	B1*		
het	jacquet		znw*	jacquetten; /*	B2*		
	jagen		ww*	jaag, joeg, gejaagd*	B1*		
	jaloers		bnw*	jaloerse; jaloerser, jaloerst*	B1*		
de	jaloezie		znw*	/; /*	B1*		
de	jaloezieën		znw*	jaloezieën; /*	B2*		
de	jam		znw; znw*	jams; /*	A2*	(NL) gekookt fruit met suiker voor op brood	
	jammer		bnw; tsw; znw; znw*	jammere; jammerder, jammerst*	A2*	helaas	
	Jan en alleman		afk*	*	B2*	zomaar iedereen	
	Jan met de pet		afk*	*	B2*		
	janken		ww*	jank, jankte, gejankt*	B1*		
	januari		znw*	januari's; /*	A1	1ste maand	
de	japon		znw*	japonnen; japonnetje*	B2*		
	jarenlang		bnw*	jarenlange; /, /*	B1*		
het	jargon		znw*	jargons; /*	B2*		
	jarig		bnw*	jarige; /, /*	A2*		
de	jas		znw; znw*	jassen; jasje*	A2*	🧥	Ik doe mijn jas aan. Het regent.
het	jasje					kleine jas	
	jatten		ww*	jat, jatte, gejat*	B2*		
	jawel		tsw*	*	B1*		
het	jawoord		znw*	jawoorden; /*	B1*		
de	jazz		znw*	/; /*	B1*		
	je		vnw; vnw*	*	A1		
de	jeans		znw*	jeans; /*	B2*		
de	jeep		znw*	jeeps; jeepje*	B2*		
	jegens		vz*	*	B2*		
de	jenever		znw*	jenevers; jenevertje*	B1*		
	jennen		ww*	jen, jende, gejend*	B2*		
de	jeugd		znw*	/; /*	A2*		
de	jeugdbescherming		znw*	jeugdbeschermingen; /*	B2*		
	jeugdig		bnw*	jeugdige; jeugdiger, jeugdigst*	B2*		
de	jeuk		znw*	/; /*	A2*		
	jezelf		vnw*	*	A2*		
	Jezus		znw*	/; /*	A2*		
	jij		vnw*	*	A1		
	jl.		bnw*	/; /, /*	B2*		
de	job		znw*	jobs; jobje*	B1*		
