	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	q		znw*	q's; q'tje*	A1	17de letter van het alfabet	Kwaliteit schrijf je met een k, niet met een q.
	qua		bw*	*	B1	als het gaat om; over	Dit restaurant is in het algemeen goed, maar valt tegen qua prijs.
de	quarantaine		znw*	quarantaines; /*	B1	apart zijn om risico's (bv. besmetting) te vermijden	Huisdieren moeten in quarantaine voor ze Australië binnen mogen.
	quasi		bw*	*	B2	gespeeld, niet echt, alsof	
	quasi		bw*	*	B2	(BE) bijna; ongeveer	Hij schrijft quasi foutloos Nederlands.
het	quatremains				C1	muziekstuk voor twee personen op één piano	
	quitte		bnw*	/; /, /*	B2	gelijk, met dezelfde score	
	quitte spelen		afk*	*	B2	punten/score gelijkmaken	
	quitte staan		ww		B2	evenveel punten / dezelfde score hebben	
	quitte staan		ww		B2	niets meer schuldig zijn (geld of gunsten)	Ze heeft al wraak genomen, dus nu staan ze quitte.
	quitte zijn		ww		B2	niets meer schuldig zijn (geld of gunsten)	Ik heb je ook de mijne gegeven, dus we zijn quitte.
de	quiz		znw*	quizzen; quizje*	B1	spel met vragen (soms op tv)	
