	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	q				A1	17de letter van het alfabet	Kwaliteit schrijf je met een k, niet met een q.	1
	qua				B1	als het gaat om; over	Dit restaurant is in het algemeen goed, maar valt tegen qua prijs.	2
de	quarantaine				B1	apart zijn om risico's (bv. besmetting) te vermijden	Huisdieren moeten in quarantaine voor ze Australië binnen mogen.	3
	quasi				B2	gespeeld, niet echt, alsof		4
	quasi				B2	(BE) bijna; ongeveer	Hij schrijft quasi foutloos Nederlands.	4
het	quatremains				C1	muziekstuk voor twee personen op één piano		5
	quitte				B2	gelijk, met dezelfde score		6
	quitte spelen				B2	punten/score gelijkmaken		7
	quitte staan		ww		B2	evenveel punten / dezelfde score hebben		8
	quitte staan		ww		B2	niets meer schuldig zijn (geld of gunsten)	Ze heeft al wraak genomen, dus nu staan ze quitte.	8
	quitte zijn		ww		B2	niets meer schuldig zijn (geld of gunsten)	Ik heb je ook de mijne gegeven, dus we zijn quitte.	9
de	quiz				B1	spel met vragen (soms op tv)		10
