	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	t		znw*	t's; t'tje*	A2*	20ste letter van het alfabet	
	taai		bnw*	taaie; taaier, taaist*	B1*		
de	taak		znw*	taken; taakje*	A2*		
de	taakleerkracht		znw*	taakleerkrachten; /*	B2*		
de	taal		znw*	talen; taaltje*	A2*		
de	taalbeschouwing		znw*	taalbeschouwingen; /*	B2*		
het	taalgebruik		znw*	/; taalgebruikje*	B2*		
de	taalgemeenschap		znw*	taalgemeenschappen; taalgemeenschapje*	B2*		
de	taalkunde		znw*	/; /*	B2	linguïstiek, wetenschappelijke studie van taal	
	taalkundig		bnw*	taalkundige; taalkundiger, taalkundigst*	B2		
de	taart		znw*	taarten; taartje*	A2*	🎂	
de	tabak		znw*	tabakken; tabakje*	B1*		
de	tabel		znw*	tabellen; tabelletje*	B1*	lijst met rijen en kolommen	
de	tablet		znw; znw*	tablets; tabletje*	B1*		
de	tablet		znw; znw*	tablets; tabletje*	B1*		
	taboe		bnw; znw*	/; /, /*	B2*		
het	taboe		bnw; znw*	/; /, /*	B2*		
	tachtig		tw*	*	A2*	80	
	tachtigste		tw*	*	A2*		
	tackelen		ww*	tackel, tackelde, getackeld*	B2*		
de	tactiek		znw*	tactieken; tactiekje*	B2*		
	tactisch		bnw*	tactische; tactischer, /*	B2*		
de	tafel		znw*	tafels; tafeltje*	A2*	meubel: ┬─┬	
het	tafeltennis		znw*	/; /*	B1*		
het	tafereel		znw*	taferelen; tafereeltje*	B2*		
de	taille		znw*	tailles; /*	B2*		
de	tak		znw*	takken; takje*	A2*		
	takelen		ww*	takel, takelde, getakeld*	B2*		
de	taks		znw; znw*	taksen; taksje*	B2*		
het	tal		znw*	tallen; /*	B2*		
	talen naar						
het	talent		znw*	talenten; talentje*	B1*		
	talentvol		bnw*	talentvolle; talentvoller, talentvolst*	B2*		
de	talkshow		znw*	talkshows; /*	B2*		
	talloos		bnw*	talloze; /, /*	B2*		
	talmen		ww*	talm, talmde, getalmd*	B2*		
	talrijk		bnw*	talrijke; talrijker, talrijkst*	B2*		
	tam		bnw*	tamme; tammer, tamst*	B1*	niet wild	
	tamelijk		bnw*	tamelijke; tamelijker, tamelijkst*	B2*		
de	tampon		znw*	tampons; tamponnetje*	B1*		
de	tand		znw*	tanden; tandje*	A2*		
de	tandarts		znw*	tandartsen; /*	A2*		
de	tandem		znw*	tandems; tandempje*	B2*		
de	tandenborstel		znw*	tandenborstels; tandenborsteltje*	A2*		
de	tandpasta		znw*	tandpasta's; tandpastaatje*	A2*		
het	tandvlees		znw*	/; /*	B1*		
	tanen		ww*	taan, taande, getaand*	B2*		
de	tang		znw*	tangen; tangetje*	B1*		
de	tango		znw*	tango's; tangootje*	B2*		
de	tank		znw*	tanks; tankje*	A2*		
	tanken		ww*	tank, tankte, getankt*	A2*		
de	tanker		znw*	tankers; tankertje*	B1*		
het	tankstation		znw*	tankstations; /*	B2*		
de	tante		znw*	tantes; tantetje*	A2*		
de	tap		znw; znw*	tappen; /*	B2*		
de	tape		znw*	tapes; /*	B1*		
het	tapijt		znw*	tapijten; tapijtje*	B1*	grote mat; pluizig soort vloer	
