	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	t					20ste letter van het alfabet		1
	taai							2
de	taak							3
de	taakleerkracht							4
de	taal							5
de	taalbeschouwing							6
het	taalgebruik							7
de	taalgemeenschap							8
de	taalkunde				B2	linguïstiek, wetenschappelijke studie van taal		9
	taalkundig				B2			10
de	taart					🎂		11
de	tabak							12
de	tabel					lijst met rijen en kolommen		13
de	tablet							14
de	tablet							14
	taboe							15
het	taboe							16
	tachtig					80		17
	tachtigste							18
	tackelen							19
de	tactiek							20
	tactisch							21
de	tafel					meubel: ┬─┬		22
het	tafeltennis							23
het	tafereel							24
de	taille							25
de	tak							26
	takelen							27
de	taks							28
het	tal							29
	talen naar							30
het	talent							31
	talentvol							32
de	talkshow							33
	talloos							34
	talmen							35
	talrijk							36
	tam					niet wild		37
	tamelijk							38
de	tampon							39
de	tand							40
de	tandarts							41
de	tandem							42
de	tandenborstel							43
de	tandpasta							44
het	tandvlees							45
	tanen							46
de	tang							47
de	tango							48
de	tank							49
	tanken							50
de	tanker							51
het	tankstation							52
de	tante							53
de	tap							54
de	tape							55
het	tapijt					grote mat; pluizig soort vloer		56
	tappen							57
het	tarief							58
de	tartaar							59
	tarten							60
de	tarwe							61
de	tas					zak die je draagt		62
de	tas					(BE) kopje, kleine drinkcontainer voor bv. thee/koffie		62
	tastbaar							63
	tasten							64
	tatoeëren							65
	t.a.v.							66
	taxeren							67
de	taxi							68
de	taxichauffeur							69
de	TB							70
de	tbc							71
de	tbs							72
	t.b.v.		afk			ten behoeve van		73
	te		bw			meer dan nodig; meer dan goed is		74
	te		vz			in (+ plaatsnaam)		75
het	team							76
de	teamgenoot							77
de	teamgenote							78
de	teamsport							79
de	technicus							80
de	techniek							81
	technisch							82
de	technologie							83
de	teckel							84
	teder							85
de	teef					vrouwtjeshond, vrouwelijke hond		86
de	teek							87
de	teelt							88
de	teen				A2			89
de	teek							90
de	teen							91
	teer							92
de	teer							93
de	teerling					(BE) dobbelsteen		94
de	tegel							95
	tegelijk							96
	tegelijkertijd							97
	tegemoet							98
de	tegemoetkoming							99
	tegen							100
	tegen							100
	tegenaan							101
het	tegendeel							102
	tegengaan							103
	tegengesteld							104
de	tegenhanger							105
	tegenhouden							106
	tegenkomen							107
de	tegenligger							108
	tegenover							109
	tegenovergesteld							110
de	tegenpartij							111
de	tegenprestatie							112
de	tegenslag							113
de	tegenspeler							114
de	tegenspoed							115
de	tegenspraak							116
	tegenspreken							117
de	tegenstand							118
de	tegenstander							119
de	tegenstandster							120
de	tegenstelling							121
	tegenstrijdig							122
	tegenvallen					niet zo goed zijn		123
de	tegenvaller							124
	tegenwerken							125
de	tegenwerping							126
het	tegenwicht							127
de	tegenwicht							128
	tegenwoordig		bnw			van nu, huidig		129
	tegenwoordig		bw			de laatste tijd		130
de	tegenzin							131
het	tegoed							132
het	tehuis							133
de	teil							134
	teisteren							135
	tekeergaan							136
het	teken							137
	tekenen							138
	tekenend							139
de	tekenfilm							140
de	tekening							141
het	tekort							142
	tekortdoen							143
	tekortkomen							144
de	tekortkoming							145
	tekortschieten							146
de	tekst							147
de	tekstschrijfster							148
de	tekstschrijver							149
de	tekstverwerker							150
de	tel							151
de	telecommunicatie							152
	telefoneren							153
	telefonisch							154
de	telefoon							155
de	telefooncel							156
het	telefoongesprek							157
de	telefoonkaart							158
het	telefoonnummer							159
het	telefoontje							160
de	telelens							161
	telen							162
de	telescoop							163
de	teletekst							164
	teleurstellen							165
de	teleurstelling							166
de	televisie				A1			167
het	televisieprogramma							168
de	televisieserie							169
de	televisiezender							170
de	telex							171
de	telg							172
	telkens				A2			173
	tellen				A2			174
de	telling							175
de	teloorgang							176
	temeer							177
	temmen							178
de	tempel							179
het	temperament							180
de	temperatuur							181
	temperen							182
het	tempo							183
	ten							184
de	tendens							185
	teneinde							186
de	teneur							187
	tenger							188
	ten minste							189
	tenminste							190
het	tennis							191
	tennissen							192
de	tenor							193
	tenslotte							194
de	tent							195
het	tentamen							196
	tentoonstellen							197
de	tentoonstelling							198
de/het	tenue							199
	tenzij							200
de	tepel							201
	ter							202
	terecht							203
	terechtkomen							204
	terechtstellen							205
	terechtwijzen							206
de	terechtwijzing							207
	tergen							208
	terloops							209
de	term							210
de	termijn							211
	terminaal							212
de	terminus							213
	ternauwernood							214
het	terras							215
het	terrein							216
de	terreur							217
	territoriaal							218
het	territorium							219
	terroriseren							220
het	terrorisme							221
	tersluiks							222
	terstond							223
	terug							224
	terugbetalen							225
de	terugblik							226
	terugblikken op							227
	terugbrengen							228
	terugdeinzen voor							229
	terugdraaien							230
	terugdringen							231
	teruggaan							232
