	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	u		vnw; znw*	*	A1	formele vorm van jij	Bent u mevrouw de Koster?
de	u		vnw; znw*	u's; u'tje*	A1	21ste letter van het alfabet	"De u in ""buren"" is lang."
	überhaupt		bw*	*	B2	alles samen bekeken, hoe dan ook, in ieder geval	
de	ui		znw; znw*	uien; uitje*	A2	🧅	
de	uier		znw*	uiers; uiertje*	B2	roze zak onderaan een koe	
de	uil		znw*	uilen; uiltje*	B1*	🦉 (vogel)	
het	uiltje					kleine uil; baby-uil	
het	uiltje					een ~ knappen/vangen = dutje doen	
	uit		vz*	*	A1	van, naar buiten	Giannis komt uit Griekenland.
	uitbarsten		ww*	barst uit, barstte uit, uitgebarsten*	B1*	plots roepen of boos worden	
de	uitbarsting		znw*	uitbarstingen; /*	B2*		
	uitbeelden		ww*	uitbeeld, uitbeeldde, uitgebeeld*	B1*		
	uitbesteden		ww*	besteed uit, uitbesteedde, uitbesteed*	B2*		
	uitbetalen		ww*	betaal uit, betaalde uit, uitbetaald*	B2*	volledig betalen	
	uitblijven		ww*	blijf uit, uitbleef, uitgebleven*	B2*	niet gebeuren (wat je verwacht)	
	uitblinken in						
de	uitbouw		znw*	uitbouwen; uitbouwtje*	B2*		
de	uitbrander		znw*	uitbranders; uitbrandertje*	B2*		
	uitbreiden		ww*	uitbreid, breidde uit, uitgebreid*	B1*	groter maken	
zich	uitbreiden		ww*	uitbreid, breidde uit, uitgebreid*	B1*	groter worden	
	uitbreken		ww*	breek uit, brak uit, uitgebroken*	B2*		
	uitbrengen		ww*	breng uit, bracht uit, uitgebracht*	B2*		
	uitbuiten		ww*	uitbuit, uitbuitte, uitgebuit*	B2*		
	uitbundig		bnw*	uitbundige; uitbundiger, uitbundigst*	B2*		
	uitdagen		ww*	daag uit, uitdaagde, uitgedaagd*	B1*		
	uitdagend		bnw*	uitdagende; uitdagender, uitdagendst*	B1*		
de	uitdaging		znw*	uitdagingen; uitdaginkje*	B1*	1. iets moeilijks 2. iets wat je vaardigheden test	
	uitdelen		ww*	uitdeel, uitdeelde, uitgedeeld*	A2*		
	uitdijen		ww*	dij uit, dijde uit, uitgedijd*	B2*		
	uitdoen		ww*	uitdoe, deed uit, uitgedaan*	B2*		
	uitdossen		ww*	uitdos, uitdoste, uitgedost*	B2*		
	uitdragen		ww*	draag uit, droeg uit, uitgedragen*	B2*		
	uitdrukkelijk		bnw*	uitdrukkelijke; uitdrukkelijker, uitdrukkelijkst*	B2*	expliciet; duidelijk bepaald	
	uitdrukken		ww*	druk uit, drukte uit, uitgedrukt*	B2*	1. weergeven; tonen; bedoelen 2. zich … = zeggen; verwoorden	
de	uitdrukking		znw*	uitdrukkingen; /*	A2		
	uiteen		bw*	*	B2*	uit elkaar	
	uiteenlopen		ww*	uiteenloop, uiteenliep, uiteengelopen*	B2*	in verschillende richtingen gaan	
	uiteenlopen		ww*	uiteenloop, uiteenliep, uiteengelopen*	B2*	verschillen	
	uiteenvallen		ww*	val uiteen, viel uiteen, uiteengevallen*	B2*	in stukken verdeeld raken	
	uiteenzetten		ww*	uiteenzet, uiteenzette, uiteengezet*	B2*		
de	uiteenzetting		znw*	uiteenzettingen; uiteenzettinkje*	B2*	expositie, presentatie	
het	uiteinde		znw*	uiteindes; /*	B1*		
	uiteindelijk		bnw*	uiteindelijke; /, /*	A2	op het einde	
	uiten		ww*	uit, uitte, geuit*	B2*	een gevoel tonen	
	uiten		ww*	uit, uitte, geuit*	B2*	gevoelens communiceren	
	uiteraard		bw*	*	B2	vanzelfsprekend	
	uiterlijk		znw; bnw*	uiterlijke; uiterlijker, uiterlijkst*	B1*	extern	Hij was uiterlijk kalm.
	uiterlijk		znw; bnw*	uiterlijke; uiterlijker, uiterlijkst*	B1*	niet later dan	uiterlijk op 4 december
het	uiterlijk		znw; bnw*	uiterlijken; /*	B1*		
	uitermate		bw*	*	B2	extreem, heel erg	
	uiterst		bnw*	/; /, uiterst*	B2*	heel erg, hoogst-	uiterst kalm
	uiterst		bnw*	/; /, uiterst*	A2		de uiterste datum
het	uiterste		znw*	uitersten; /*	B2*		
	uitgaan		ww*	ga uit, ging uit, uitgegaan*	A2	naar sociale plekken gaan	
	uitgaan van					als basis nemen	
de	uitgang		znw*	uitgangen; /*	A1	deur naar buiten	
de	uitgang		znw*	uitgangen; /*	B2	veranderlijk einde van een woord	
het	uitgangspunt		znw*	uitgangspunten; /*	B2	startpunt van een logica of gedachtegang	
de	uitgave		znw*	uitgaven; /*	B2*	(vooral van een boek) versie, editie	
de	uitgave		znw*	uitgaven; /*	B2*	uitgegeven geld	
	uitgebreid		bnw*	uitgebreide; uitgebreider, uitgebreidst*	B1*	ruim; met veel details	
	uitgekeken op						
	uitgekiend		bnw*	uitgekiende; uitgekiender, uitgekiendst*	B2*		
	uitgekookt		bnw*	uitgekookte; uitgekookter, uitgekooktst*	B2*		
