	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
	u				A1	formele vorm van jij	Bent u mevrouw de Koster?	1
de	u		znw		A1	21ste letter van het alfabet	De u in "buren" is lang.	2
	überhaupt				B2	alles samen bekeken, hoe dan ook, in ieder geval		3
de	ui				A2	🧅		4
de	uier				B2	roze zak onderaan een koe		5
de	uil					🦉 (vogel)		6
het	uiltje					kleine uil; baby-uil		7
het	uiltje					een ~ knappen/vangen = dutje doen		7
	uit				A1	van, naar buiten	Giannis komt uit Griekenland.	8
	uitbarsten					plots roepen of boos worden		9
de	uitbarsting							10
	uitbeelden							11
	uitbesteden							12
	uitbetalen					volledig betalen		13
	uitblijven					niet gebeuren (wat je verwacht)		14
	uitblinken in							15
de	uitbouw							16
de	uitbrander							17
	uitbreiden					groter maken		18
zich	uitbreiden					groter worden		19
	uitbreken							20
	uitbrengen							21
	uitbuiten							22
	uitbundig							23
	uitdagen							24
	uitdagend							25
de	uitdaging					1. iets moeilijks 2. iets wat je vaardigheden test		26
	uitdelen							27
	uitdijen							28
	uitdoen							29
	uitdossen							30
	uitdragen							31
	uitdrukkelijk					expliciet; duidelijk bepaald		32
	uitdrukken					1. weergeven; tonen; bedoelen 2. zich … = zeggen; verwoorden		33
de	uitdrukking				A2			34
	uiteen					uit elkaar		35
	uiteenlopen					in verschillende richtingen gaan		36
	uiteenlopen					verschillen		36
	uiteenvallen					in stukken verdeeld raken		37
	uiteenzetten							38
de	uiteenzetting					expositie, presentatie		39
het	uiteinde							40
	uiteindelijk				A2	op het einde		41
	uiten					een gevoel tonen		42
	uiten					gevoelens communiceren		42
	uiteraard				B2	vanzelfsprekend		43
	uiterlijk					extern	Hij was uiterlijk kalm.	44
	uiterlijk					niet later dan	uiterlijk op 4 december	44
het	uiterlijk							45
	uitermate				B2	extreem, heel erg		46
	uiterst					heel erg, hoogst-	uiterst kalm	
	uiterst				A2		de uiterste datum	47
het	uiterste							48
	uitgaan				A2	naar sociale plekken gaan		49
	uitgaan van					als basis nemen		50
de	uitgang				A1	deur naar buiten		51
de	uitgang				B2	veranderlijk einde van een woord		51
het	uitgangspunt				B2	startpunt van een logica of gedachtegang		52
de	uitgave					(vooral van een boek) versie, editie		53
de	uitgave					uitgegeven geld		53
	uitgebreid					ruim; met veel details		54
	uitgekeken op							55
	uitgekiend							56
	uitgekookt							57
	uitgelaten					blij na een periode van stress		58
	uitgelezen					heel geschikt; ideaal		59
	uitgeput					compleet leeggehaald		60
	uitgeput					(van een persoon) heel moe		60
	uitgerekend		bw			precies die, precies dan		61
	uitgerekend		bnw			verwacht een baby te krijgen		62
	uitgesproken				A2	open		63
	uitgestorven				B1	als een hele soort/groep dood is		64
	uitgestorven				B2	niet meer bestaand		64
	uitgestrekt							65
	uitgeteld					extreem moe		66
	uitgeven					(vooral van geld) spenderen; verbruiken		67
	uitgeven					publiceren		67
	uitgeven voor					doen alsof de persoon een ander is		68
de	uitgever					(vrouw: uitgeefster)		69
de	uitgeverij					bedrijf dat boeken publiceert		70
	uitgezonderd					behalve		71
	uitgroeien tot							72
	uithalen							73
	uithalen naar							74
	uitheems							75
de	uithoek					een verre plaats		76
	uithouden					doorgaan, niet stoppen		77
	uithuwelijken							78
de	uiting				A2	iets wat je zegt/communiceert		79
het	uitje							80
	uitkammen							81
	uitkeren							82
de	uitkering				B1	geld gegeven door de overheid, door de sociale zekerheid		83
de	uitkeringsgerechtigde							84
	uitkiezen							85
	uitkijken					voorzichtig zijn		86
	uitkijken naar					blij zijn dat iets gaat gebeuren; wachten op iets leuks		87
	uitkleden							88
	uitkomen				A2			89
	uitkomen voor							90
de	uitkomst							91
de	uitlaat							92
het	uitlaatgas							93
	uitlachen							94
	uitlaten							95
zich	uitlaten over							96
de	uitlating							97
de	uitleg							98
	uitleggen				A2	begrijpelijk of duidelijk maken		99
	uitlekken							100
zich	uitleven							101
	uitleveren				B2	een crimineel (op vraag) aan een ander land geven		102
	uitlokken					zorgen dat anderen iets slechts doen; provoceren		103
	uitlopen					later worden dan gepland		104
	uitlopen op					resulteren in; als resultaat hebben		105
	uitloven							106
	uitmaken				A2	1. een verschil maken; betere optie zijn 2.		107
	uitmaken voor							108
	uitmonden in				B2			109
	uitmuntend				B2	heel goed		110
	uitnodigen				B1	vragen om mee te doen of te komen		111
	uitnodigen tot				B2	oproepen tot een bepaalde actie		112
	uitnodigend				B2	(van een ding) aantrekkelijk		113
de	uitnodiging				B1			114
	uitoefenen				B1			115
	uitpakken				A2		Gaan we de cadeautjes uitpakken?	116
	uitpakken met							117
	uitpluizen				B2			118
	uitpraten				B1	praten tot je klaar bent		119
	uitproberen				B1	testen		120
	uitpuilen				B2			121
	uitputten				B1	1. moe maken 2. opgebruiken		122
zich	uitputten in							123
	uitputtend							124
de	uitputting							125
	uitreiken							126
	uitrekenen							127
de	uitrit							128
	uitroeien							129
de	uitroep							130
	uitroepen							131
	uitroepen tot							132
het	uitroepteken							133
	uitrusten							134
	uitrusten met					voorzien van; zorgen dat je iets hebt		135
de	uitrusting							136
	uitschakelen							137
	uitscheiden							138
	uitschelden							139
de	uitschieter					iets dat sterk verschilt met de rest		140
	uitschijnen							141
het	uitschot					krapuul, slechte bende		142
	uitschrijven							143
de	uitslag					resultaat van een test		144
	uitslapen					langer slapen dan normaal, tot je niet moe meer bent		145
	uitsloven							146
	uitsluiten				A2			147
	uitsluiten van							148
	uitsluitend				A2			149
het	uitsluitsel					beslissend antwoord of bewijs		150
de	uitsmijter							151
de	uitspanning							152
de	uitspatting							153
	uitspelen					tot het einde spelen	Ik heb het eerste level nog niet uitgespeeld.	154
	uitspelen tegen							155
de	uitspraak				A2	1. iets wat je zegt 2. hoe je iets zegt 3. oordeel/beslissing van de rechter		156
	uitspreken				A2			157
	uitstaan							158
	uitstallen							159
het	uitstalraam					(BE) etalage		160
het	uitstapje					korte plezierreis, excursie		161
	uitstappen							162
	bij uitstek							163
	uitsteken							164
	uitsteken boven							165
	uitstekend				A2	heel goed		166
het	uitstel							167
	uitstellen							168
	uitsterven				B1	als een hele soort/groep doodgaat		169
	uitstippelen							170
de	uitstraling							171
zich	uitstrekken							172
het	uitstrijkje							173
de	uittocht							174
	uittrekken							175
	uittrekken voor							176
het	uittreksel							177
	uitvaardigen							178
de	uitvaart					begravenis		179
de	uitval							180
	uitvallen							181
	uitvaren							182
	uitvechten							183
	uitvergroten							184
	uitverkocht					niet meer op voorraad		185
de	uitverkoop					wanneer een winkel de oude producten op een lagere prijs verkoopt		186
	uitverkoren							187
	uitvinden					iets nieuws bedenken		188
de	uitvinding					een nieuw bedacht ding		189
het	uitvloeisel							190
de	uitvlucht							191
de	uitvoer							192
	uitvoeren					doen wat beslist is		193
	uitvoeren					exporteren		193
	uitvoeren				A2	vertonen aan een publiek		193
	uitvoerig				A2	met veel details		194
de	uitvoering				A2	vertoning (bv. theater) aan een publiek		195
de	uitwedstrijd					wedstrijd op het terrein van de andere		196
de	uitweg							197
	uitweiden							198
	uitwendig							199
	uitwerken							200
de	uitwerpselen					kak, stront (formeel)		201
	uitwijken					uit de weg gaan		202
	uitwijzen					(automatisch) laten zien		203
	uitwijzen					uit het land zetten		203
	uitwisselen							204
de	uitzaaiing							205
het	uitzendbureau							206
	uitzenden							207
de	uitzending							208
de	uitzendkracht							209
het	uitzendwerk							210
	uitzetten							211
het	uitzicht							212
	uitzichtloos					hopeloos, waarin je geen goed/positief einde ziet		213
	er uitzien				A2	lijken		214
	uitzien naar				B1	blij zijn dat iets gaat komen		215
	uit zijn op				B2	graag willen krijgen	Mijn vader is altijd uit op de nieuwste modellen van apparaten.	216
	uitzinnig							217
	uitzitten					wachten/blijven tot iets voorbij is		218
	uitzoeken							219
de	uitzondering				A2	het enige ding dat de regel niet volgt		220
	uitzonderlijk							221
	ultiem					laatste, hoogste		222
het	ultimatum					laatste kans om iets op te lossen		223
de	umlaut					het teken ¨ op het Duitse föhn		224
