	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	u	y*	vnw; znw*	*	A1	formele vorm van jij	Bent u mevrouw de Koster?
de	u	y*	vnw; znw*	u's; u'tje	A1	21ste letter van het alfabet	"De u in ""buren"" is lang."
	überhaupt	*	bw		B2	alles samen bekeken, hoe dan ook, in ieder geval	
de	ui	œy̯*	znw	uien; uitje	A2	🧅	
de	uier	ˈœy̯ər*	znw	uiers; uiertje	B2	roze zak onderaan een koe	
de	uil	œy̯l*	znw	uilen; uiltje	B1*	🦉 (vogel)	
het	uiltje	*				kleine uil; baby-uil	
het	uiltje	*				een ~ knappen/vangen = dutje doen	
	uit	œy̯t*	vz		A1	van, naar buiten	Giannis komt uit Griekenland.
	uitbarsten	*	ww*	barst uit, barstte uit, uitgebarsten*	B1*	plots roepen of boos worden	
de	uitbarsting	ˈœy̯tˌbɑrstɪŋ*	znw*	uitbarstingen; /*	B2*	wanneer je plots roept of boos wordt	
	uitbeelden	ˈœy̯dˌbeːldə(n)*	ww*	uitbeeld, uitbeeldde, uitgebeeld*	B1*		
	uitbesteden	*	ww*	besteed uit, uitbesteedde, uitbesteed*	B2*		
	uitbetalen	*	ww*	betaal uit, betaalde uit, uitbetaald*	B2*	als betaling geven	
	uitblijven	ˈœy̯dˌblɛi̯və(n)*	ww*	blijf uit, uitbleef, uitgebleven*	B2*	niet gebeuren (wat je verwacht)	
	uitblinken in	*					
de	uitbouw	*	znw*	uitbouwen; uitbouwtje*	B2*		
de	uitbrander	*	znw*	uitbranders; uitbrandertje*	B2*		
	uitbreiden	*	ww*	uitbreid, breidde uit, uitgebreid*	B1*	groter maken	
zich	uitbreiden	*	ww*	uitbreid, breidde uit, uitgebreid*	B1*	groter worden	
	uitbreken	*	ww*	breek uit, brak uit, uitgebroken*	B2*		
	uitbrengen	ˈœy̯tˌbrɛŋə(n)*	ww*	breng uit, bracht uit, uitgebracht*	B2*		
	uitbuiten	ˈœy̯tˌbœy̯tə(n)*	ww*	uitbuit, uitbuitte, uitgebuit*	B2*		
	uitbundig	ˌœy̯tˈbʏndəx*	bnw*	uitbundige; uitbundiger, uitbundigst*	B2*		
	uitdagen	ˈœy̯ˌdaːɣə(n)*	ww*	daag uit, uitdaagde, uitgedaagd*	B1*		
	uitdagend	*	bnw*	uitdagende; uitdagender, uitdagendst*	B1*	iets dat test wat je kunt	
de	uitdaging	ˈœy̯tˌdaːɣɪŋ*	znw*	uitdagingen; uitdaginkje*	B1*	1. iets moeilijks 2. iets dat test wat je kunt	
	uitdelen	ˈœy̯ˌdeːlə(n)*	ww*	uitdeel, uitdeelde, uitgedeeld*	A2*		
	uitdijen	*	ww*	dij uit, dijde uit, uitgedijd*	B2*		
	uitdoen	ˈœy̯dun*	ww*	uitdoe, deed uit, uitgedaan*	B2*		
	uitdossen	*	ww*	uitdos, uitdoste, uitgedost*	B2*		
	uitdragen	ˈœy̯ˌdraːɣə(n)*	ww*	draag uit, droeg uit, uitgedragen*	B2*		
	uitdrukkelijk	*	bnw*	uitdrukkelijke; uitdrukkelijker, uitdrukkelijkst*	B2*	expliciet; duidelijk bepaald	
	uitdrukken	ˈœy̯ˌdrʏkə(n)*	ww*	druk uit, drukte uit, uitgedrukt*	B2*	1. weergeven; tonen; bedoelen 2. zich … = zeggen; verwoorden	
de	uitdrukking	ˈœy̯(t)ˌdrʏkɪŋ*	znw*	uitdrukkingen; /*	A2		
	uiteen	*	bw*	*	B2*	uit elkaar	
	uiteenlopen	*	ww*	uiteenloop, uiteenliep, uiteengelopen*	B2*	in verschillende richtingen gaan	
	uiteenlopen	*	ww*	uiteenloop, uiteenliep, uiteengelopen*	B2*	verschillen	
	uiteenvallen	*	ww*	val uiteen, viel uiteen, uiteengevallen*	B2*	in stukken vallen	
	uiteenzetten	*	ww*	uiteenzet, uiteenzette, uiteengezet*	B2*		
de	uiteenzetting	*	znw*	uiteenzettingen; uiteenzettinkje*	B2*	expositie, presentatie	
het	uiteinde	ˈœy̯tɛi̯ndə*	znw*	uiteindes; /*	B1*		
	uiteindelijk	*	bnw*	uiteindelijke; /, /*	A2	op het einde	
	uiten	ˈœy̯tə(n)*	ww*	uit, uitte, geuit*	B2*	een gevoel tonen	
	uiten	ˈœy̯tə(n)*	ww*	uit, uitte, geuit*	B2*	gevoelens communiceren	
	uiteraard	*	bw*	*	B2	vanzelfsprekend	
	uiterlijk	*	znw; bnw*	uiterlijke; uiterlijker, uiterlijkst*	B1*	extern	Hij was uiterlijk kalm.
	uiterlijk	*	znw; bnw*	uiterlijke; uiterlijker, uiterlijkst*	B1*	niet later dan	uiterlijk op 4 december
het	uiterlijk	*	znw; bnw*	uiterlijken; /*	B1*		
	uitermate	*	bw*	*	B2	extreem, heel erg	
	uiterst	ˈœy̯tərst*	bnw*	/; /, uiterst*	B2*	heel erg, hoogst-	uiterst kalm
	uiterst	ˈœy̯tərst*	bnw*	/; /, uiterst*	A2		de uiterste datum
het	uiterste	*	znw*	uitersten; /*	B2*		
	uitgaan	ˈœy̯txaːn*	ww*	ga uit, ging uit, uitgegaan*	A2	naar sociale plekken gaan, bv. café of discotheek	
	uitgaan van	*				als basis nemen	
de	uitgang	ˈœy̯txɑŋ*	znw*	uitgangen; /*	A1	deur naar buiten	
de	uitgang	ˈœy̯txɑŋ*	znw*	uitgangen; /*	B2	veranderlijk einde van een woord	
het	uitgangspunt	ˈœy̯txɑŋsˌpʏnt*	znw*	uitgangspunten; /*	B2	startpunt van een logica of gedachtegang	
de	uitgave	ˈœy̯tˌxaːvə*	znw*	uitgaven; /*	B2*	(vooral van een boek) versie, editie	
de	uitgave	ˈœy̯tˌxaːvə*	znw*	uitgaven; /*	B2*	wat je betaald hebt	
	uitgebreid	*	bnw*	uitgebreide; uitgebreider, uitgebreidst*	B1*	ruim; met veel details	
	uitgekeken op	*					
	uitgekiend	*	bnw*	uitgekiende; uitgekiender, uitgekiendst*	B2*		
	uitgekookt	ˈœy̯txəˌkoːkt*	bnw*	uitgekookte; uitgekookter, uitgekooktst*	B2*		
	uitgelaten	*	bnw*	/; uitgelatener, uitgelatenst*	B2*	blij na een periode van stress	
	uitgelezen	*	bnw*	/; uitgelezener, uitgelezenst*	B2*	heel geschikt; ideaal	
	uitgeput	ˈœy̯txəˌpʏt*	bnw*	uitgeputte; uitgeputter, uitgeputst*	B1*	compleet leeggehaald	
	uitgeput	ˈœy̯txəˌpʏt*	bnw*	uitgeputte; uitgeputter, uitgeputst*	B1*	(van een persoon) heel moe	
	uitgerekend	*	bnw*	uitgerekende; /, /*	B1*	precies die, precies dan	
	uitgerekend	*	bnw*	uitgerekende; /, /*	B1*	verwacht een baby te krijgen	
	uitgesproken	ˈœy̯txəˌsproːkə(n)*	bnw*	/; /, /*	B1	open	
	uitgestorven	*	bnw*	/; /, /*	B1	als een hele soort/groep dood is	
	uitgestorven	*	bnw*	/; /, /*	B2	niet meer bestaand	
	uitgestrekt	*	bnw*	uitgestrekte; uitgestrekter, uitgestrektst*	B2*		
	uitgeteld	*				extreem moe	
	uitgeven	ˈœy̯tˌɣeːvə(n)*	ww*	uitgeef, gaf uit, uitgegeven*	B1*	(vooral van geld) spenderen; verbruiken	
	uitgeven	ˈœy̯tˌɣeːvə(n)*	ww*	uitgeef, gaf uit, uitgegeven*	B1*	publiceren	
	uitgeven voor	*				doen alsof de persoon een ander is	
