	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	v		znw; afk*	v's; v'tje*	A1	22ste letter van het alfabet	
	vaag		bnw*	vage; vager, vaagst*	B1*		
	vaak		znw; bnw*	vake; vaker, vaakst*	A1	frequent	
de	vaak		znw; bnw*	/; /*	A2*	(BE) slaperig gevoel, moe gevoel	
	vaal		bnw*	vale; valer, vaalst*	B2*		
de	vaan		znw*	vanen; vaantje*	B2*	kleinere vlag	
het	vaandel		znw*	vaandels; vaandeltje*	B2*	vlag op een stok	
	vaardig		bnw*	vaardige; vaardiger, vaardigst*	B2*		
de	vaardigheid		znw*	vaardigheden; /*	B2*		
de	vaars		znw*	vaarzen; vaarsje*	B2*		
de	vaart		znw*	vaarten; vaartje*	A2*		
het	vaartuig		znw*	vaartuigen; vaartuigje*	B2*	schip, boot	
het	vaarwater		znw*	vaarwaters; vaarwatertje*	B2*	deel van de zee/oceaan/rivieren waar gevaren wordt	
het	vaarwater		znw*	vaarwaters; vaarwatertje*	B2*	zeeterritorium	
de	vaas		znw*	vazen; vaasje*	B1*		
de	vaat		znw*	/; vaatje*	B1*		
de	vaatdoek		znw*	vaatdoeken; vaatdoekje*	B1*		
de	vaatwasser		znw*	vaatwassers; /*	B1*		
de	vaatziekte		znw*	vaatziekten; /*	B2*		
de	vacature		znw*	vacatures; vacaturetje*	B1*		
het	vaccin		znw*	vaccins; /*	B1*		
	vaccineren		ww*	vaccineer, vaccineerde, gevaccineerd*	B1*		
de	vacht		znw*	vachten; vachtje*	B1	haar van een dier	
	vacuüm		bnw; znw*	/; /, /*	B2*		
het	vacuüm		bnw; znw*	vacuüms; /*	B2*		
de	vader		znw*	vaders; vadertje*	A2*		
de	Vaderdag		znw*	/; /*	A2*		
het	vaderland		znw*	vaderlanden; vaderlandje*	B1*		
	vaderlands		bnw*	vaderlandse; /, /*	B2*		
de	vagina		znw*	vagina's; vaginaatje*	A2*		
het	vak		znw*	vakken; vakje*	A2*		
de	vakantie		znw*	vakanties; vakantietje*	A2*		
de	vakantieganger		znw*	vakantiegangers; vakantiegangertje*	B2*		
het	vakantiegeld		znw*	/; /*	B1*		
de	vakbeweging		znw*	vakbewegingen; /*	B2*		
het	vakblad		znw*	vakbladen; vakblaadje*	B2*		
de	vakbond		znw*	vakbonden; vakbondje*	B1*		
de	vakcentrale		znw*	vakcentrales; /*	B2*		
het	vakgebied		znw*	vakgebieden; vakgebiedje*	B1*		
	vakkundig		bnw*	vakkundige; vakkundiger, vakkundigst*	B2*		
de	vakman		znw*	vaklieden; vakmannetje*	B1*		
de	vakvrouw		znw*	vakvrouwen; vakvrouwtje*	B2*		
de	val		znw; znw; znw; znw*	/; valletje*	A2*		
de	valavond		znw*	/; /*	B2*		
de	valk		znw*	valken; valkje*	B2*		
de	valkuil		znw; znw*	valkuilen; valkuiltje*	B1*		
de	vallei		znw*	valleien; valleitje*	B1*		
	vallen		ww*	val, viel, gevallen*	A2*		
	vallen onder						
	vallen op						
	vallen over						
de	valpartij		znw*	valpartijen; valpartijtje*	B2*		
de	valreep		znw*	valrepen; valreepje*	B2*		
	vals		bnw*	valse; valser, valst*	B2*		
de	valstrik		znw*	valstrikken; /*	B2*		
de	valuta		znw*	valuta; /*	B2*		
	van		vz; znw*	*	A2*		
	vanaf		vz; bw*	*	A2*		
	vanavond		bw*	*	A2*		
	vandaag		bw*	*	A2*		
de	vandaal		znw*	vandalen; vandaaltje*	B2*		
	vandaan		bw*	*	A2*		
	vandaar		bw*	*	B2*		
het	vandalisme		znw*	/; /*	B1*		
	vangen		ww*	vang, ving, gevangen*	A2*		
de	vangrail		znw*	vangrails; /*	B2*		
de	vangst		znw*	vangsten; /*	B1*		
	vanmiddag		bw*	*	A2*		
	vanmorgen		bw*	*	A2*		
	vannacht		bw*	*	A2*		
	vanochtend		bw*	*	A2*		
	vanouds		bw*	*	B2*		
	vanuit		vz*	*	B1*		
	vanwaar		bw*	*	B2*		
	vanwege		vz*	*	B2*		
	vanzelf		bw*	*	A2*		
	vanzelfsprekend		bnw*	vanzelfsprekende; vanzelfsprekender, vanzelfsprekendst*	B2*		
de	VARA						
	varen		ww; ww; znw*	vaar, vaarde, gevaren*	A2*		
de	varen		ww; ww; znw*	varens; varentje*	A2*		
de	variant		znw*	varianten; variantje*	B2*		
de	variatie		znw*	variaties; /*	B2*		
	variëren		ww*	varieer, varieerde, gevarieerd*	B2*		
het	varken		znw*	varkens; varkentje*	B1		
de	varkenspest		znw*	/; /*	B2*		
	vast		bnw*	vaste; vaster, vastst*	A2*		
	vast		bnw*	vaste; vaster, vastst*	A2*		
	vastberaden		bnw*	/; vastberadener, vastberadenst*	B2*		
	vastbesloten		bnw*	/; vastbeslotener, vastbeslotenst*	B2*		
	vastbinden		ww*	vastbind, vastbond, vastgebonden*	B2*		
het	vasteland		znw*	/; /*	B2*		
	vasten		ww; znw*	vast, vastte, gevast*	B1*		
de	vasten		ww; znw*	/; /*	B1*		
het	vastgoed		znw*	/; /*	B2*		
	vasthouden		ww*	vasthou, vasthield, vastgehouden*	A2*		
	vasthouden aan						
zich	vastklampen aan						
	vastleggen		ww*	leg vast, legde vast, vastgelegd*	B2*		
	vastlopen		ww*	loop vast, vastliep, vastgelopen*	B2*		
	vaststaan		ww*	vaststa, vaststond, vastgestaan*	B2*		
	vaststellen		ww*	stel vast, stelde vast, vastgesteld*	B1*		
	vastzitten		ww*	vastzit, zat vast, vastgezeten*	B1*		
	vastzitten aan						
het	vat		znw; znw*	vaten; vaatje*	B1*		
	vatbaar		bnw*	vatbare; vatbaarder, vatbaarst*	B1*		
	vatten		ww*	vat, vatte, gevat*	B2*		
	v.d.		afk*	*	B2*	van de	
de	VDAB						
	vechten		ww*	vecht, vocht, gevochten*	A2*		
de	vechtpartij		znw*	vechtpartijen; vechtpartijtje*	B2*		
de	vedette		znw*	vedetten; /*	B2*		
het	vee		znw*	/; /*	B1*		
	veeg		bnw; znw*	vege; veger, veegst*	B1*		
de	veeg		bnw; znw*	vegen; veegje*	B1*		
de	veehouderij		znw*	veehouderijen; /*	B2*		
	veel		bw; vnw; znw*	*	A2*	vaak, frequent	
	veel		bw; vnw; znw*	*	A2*	grote kwantiteit	
	veelal		bw*	*	B2*		
	veelbelovend		bnw*	veelbelovende; /, /*	B2*		
	veelbesproken		bnw*	/; /, /*	B2*		
	veeleer		bw*	*	B2*		
het	veelvoud		znw*	veelvouden; /*	B2*		
	veelvuldig		bnw*	veelvuldige; veelvuldiger, veelvuldigst*	B2*		
	veelzeggend		bnw*	veelzeggende; veelzeggender, veelzeggendst*	B2*		
	veelzijdig		bnw*	veelzijdige; veelzijdiger, veelzijdigst*	B2*		
het	veen		znw*	venen; veentje*	B2*		
de	veer		znw; znw*	veren; veertje*	B1*		
het	veer		znw; znw*	veren; veertje*	B1*		
de	veerboot		znw*	veerboten; veerbootje*	B2*		
de	veerkracht		znw*	/; /*	B2*		
	veerkrachtig		bnw*	veerkrachtige; veerkrachtiger, veerkrachtigst*	B2*		
	veertien		tw*	*	A2*	14	
	veertig		tw*	*	A2*	40	
de	veestapel		znw*	veestapels; veestapeltje*	B2*		
de	veeteelt		znw*	/; /*	B2*		
	vegen		ww*	veeg, veegde, geveegd*	B1*		
de	vegetariër		znw*	vegetariërs; /*	B1*		
	vegetarisch		bnw*	vegetarische; vegetarischer, /*	B1*		
het	vehikel		znw*	vehikels; vehikeltje*	B2*		
	veilen		ww*	veil, veilde, geveild*	B2*		
	veilig		bnw*	veilige; veiliger, veiligst*	A2*		
de	veiligheidsdienst		znw*	veiligheidsdiensten; /*	B2*		
de	veiligheidsspeld		znw*	veiligheidsspelden; veiligheidsspeldje*	B2*		
de	veiling		znw*	veilingen; veilinkje*	B1*		
	veinzen		ww*	veins, veinsde, geveinsd*	B2*		
het	vel		znw*	vellen; velletje*	B1*		
het	veld		znw*	velden; veldje*	A2*		
de	veldslag		znw*	veldslagen; veldslagje*	B1*		
	velen		ww; vnw*	veel, veelde, geveeld*	B1*		
de	velg		znw*	velgen; velgje*	B2*	buitenste rand van een wiel, waar de band omheen zit	
	vellen		ww*	vel, velde, geveld*	B1*		
het	ven		znw*	vennen; vennetje*	B2*		
het	venijn		znw*	/; /*	B2*		
	venijnig		bnw*	venijnige; venijniger, venijnigst*	B2*		
de	vennootschap		znw*	vennootschappen; vennootschapje*	B2*		
het	venster		znw*	vensters; venstertje*	B2*		
de	vensterbank		znw*	vensterbanken; vensterbankje*	B1*		
de	vent		znw*	venten; ventje*	B1*		
het	ventiel		znw*	ventielen; ventieltje*	B2*		
de	ventilatie		znw*	/; /*	B1*		
de	ventilator		znw*	ventilatoren; ventilatortje*	B1*		
	ventileren		ww*	ventileer, ventileerde, geventileerd*	B2*	frisse lucht doen circuleren	
