	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	v				A1	22ste letter van het alfabet		1
	vaag							2
	vaak				A1	frequent		3
de	vaak					(BE) slaperig gevoel, moe gevoel		4
	vaal		bnw					5
de	vaan		znw			kleinere vlag		6
het	vaandel		znw			vlag op een stok		7
	vaardig							8
de	vaardigheid							9
de	vaars							10
de	vaart							11
het	vaartuig					schip, boot		12
het	vaarwater					deel van de zee/oceaan/rivieren waar gevaren wordt		13
het	vaarwater					zeeterritorium		13
de	vaas		znw					14
de	vaat		znw					15
de	vaatdoek							16
de	vaatwasser							17
de	vaatziekte							18
de	vacature							19
het	vaccin							20
	vaccineren							21
de	vacht		znw		B1	haar van een dier		22
	vacuüm							23
het	vacuüm							24
de	vader							25
de	Vaderdag							26
het	vaderland							27
	vaderlands							28
de	vagina							29
het	vak							30
de	vakantie							31
de	vakantieganger							32
het	vakantiegeld							33
de	vakbeweging							34
het	vakblad							35
de	vakbond							36
de	vakcentrale							37
het	vakgebied							38
	vakkundig							39
de	vakman							40
de	vakvrouw							41
de	val							42
de	valavond							43
de	valk							44
de	valkuil							45
de	vallei							46
	vallen							47
	vallen onder							48
	vallen op							49
	vallen over							50
de	valpartij							51
de	valreep							52
	vals							53
de	valstrik							54
de	valuta							55
	van							56
	vanaf							57
	vanavond							58
	vandaag							59
de	vandaal							60
	vandaan							61
	vandaar							62
het	vandalisme							63
	vangen							64
de	vangrail							65
de	vangst							66
	vanmiddag							67
	vanmorgen							68
	vannacht							69
	vanochtend							70
	vanouds							71
	vanuit							72
	vanwaar							73
	vanwege							74
	vanzelf							75
	vanzelfsprekend							76
de	VARA							77
	varen							78
de	varen							79
de	variant							80
de	variatie							81
	variëren							82
het	varken				B1			83
de	varkenspest							84
	vast							85
	vast							85
	vastberaden							86
	vastbesloten							87
	vastbinden							88
het	vasteland							89
	vasten							90
de	vasten							91
het	vastgoed							92
	vasthouden							93
	vasthouden aan							94
zich	vastklampen aan							95
	vastleggen							96
	vastlopen							97
	vaststaan							98
	vaststellen							99
	vastzitten							100
	vastzitten aan							101
het	vat							102
	vatbaar							103
	vatten							104
	v.d.		afk			van de		105
de	VDAB							106
	vechten							107
de	vechtpartij							108
de	vedette							109
het	vee							110
	veeg							111
de	veeg							112
de	veehouderij							113
	veel					vaak, frequent		114
	veel					grote kwantiteit		114
	veelal							115
	veelbelovend							116
	veelbesproken							117
	veeleer							118
het	veelvoud							119
	veelvuldig							120
	veelzeggend							121
	veelzijdig							122
het	veen							123
de	veer							124
het	veer							125
de	veerboot							126
de	veerkracht							127
	veerkrachtig							128
	veertien					14		129
	veertig					40		130
de	veestapel							131
de	veeteelt							132
	vegen							133
de	vegetariër							134
	vegetarisch							135
het	vehikel							136
	veilen							137
	veilig							138
de	veiligheidsdienst							139
de	veiligheidsspeld							140
de	veiling							141
	veinzen							142
het	vel							143
het	veld							144
de	veldslag							145
	velen							146
de	velg					buitenste rand van een wiel, waar de band omheen zit		147
	vellen							148
het	ven							149
het	venijn							150
	venijnig							151
de	vennootschap							152
het	venster							153
de	vensterbank							154
de	vent							155
het	ventiel							156
de	ventilatie							157
de	ventilator							158
	ventileren					frisse lucht doen circuleren		159
	ventileren					frustraties of klachten delen (om kalmer te worden)		159
	ver							160
	verachten							161
de	verademing							162
	veraf							163
	verafschuwen							164
de	veranda							165
	veranderen				A2	anders maken	Hij heeft zijn profielfoto veranderd.	166
	veranderen				A2	anders worden	Kameleons veranderen van kleur.	166
de	verandering							167
	verantwoord							168
	verantwoordelijk							169
de	verantwoordelijkheid							170
