	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	w		znw*	w's; w'tje*	A2*	23ste letter van het alfabet	
 	waaien		ww*	waai, woei, gewaaid*	A2	wat de wind doet	
de	waakhond		znw*	waakhonden; waakhondje*	B1*		
	waakzaam		bnw*	waakzame; waakzamer, waakzaamst*	B2*		
de	Waal		znw*	walen; waaltje*	B2*	persoon uit Wallonië (Franstalig deel van België)	
	Waals		bnw; znw*	waalse; waalser, waalst*	B1*		
de	waan		znw*	wanen; waantje*	B2*		
de	waanzin		znw*	/; /*	B2*		
	waanzinnig		bnw*	waanzinnige; waanzinniger, waanzinnigst*	B2*		
	waanzinnig		bnw*	waanzinnige; waanzinniger, waanzinnigst*	B2*		
	waar		ovw; bnw; bw; znw*	*	A1	op welke plaats	
	waar		ovw; bnw; bw; znw*	ware; waarder, waarst*	A2	juist, correct, echt	
de	waar		ovw; bnw; bw; znw*	waren; /*	B2*	goederen	
	waar-					... wat: bv. waarbij = bij wat, waarmee = met wat	
	waaraan		bw*	*	B1*	aan + wat	
	waarachtig		tsw; bnw*	*	B2*		
	waarbij		bw*	*	B1*	bij + wat	
de	waarborg		znw*	waarborgen; /*	B2*		
	waarborgen		ww*	waarborg, waarborgde, gewaarborgd*	B2*		
	waard		znw; bnw; znw; znw*	waarde; /, waardst*	A2		
de	waard		znw; bnw; znw; znw*	waarden; /*	B1*		
de	waarde		znw*	waarden; /*	A2		
	waardeloos		bnw*	waardeloze; waardelozer, waardeloost*	B1*		
	waarderen		ww*	waardeer, waardeerde, gewaardeerd*	B1*		
de	waardering		znw*	waarderingen; /*	B1*		
	waardevol		bnw*	waardevolle; waardevoller, waardevolst*	B1*		
	waardig		bnw*	waardige; waardiger, waardigst*	B2*		
de	waardin		znw*	waardinnen; waardinnetje*	B2*		
	waardoor		bw*	*	B1*	door + wat	
	waarheen		bw*	*	B2*	naar welke plaats?	
de	waarheid		znw*	waarheden; waarheidje*	B1		
	waarin		bw*	*	B1*		
	waarmaken		ww*	maak waar, waarmaakte, waargemaakt*	B1*		
	waarmee		bw*	*	B1*		
	waarna		bw*	*	B2*		
	waarnaar		bw*	*	B2*		
	waarnemen		ww*	waarneem, waarnam, waargenomen*	B1		
de	waarneming		znw*	waarnemingen; waarneminkje*	B2*		
	waarom		bw; znw*	*	A2		
	waaronder		bw*	*	B1*		
	waarop		bw*	*	B1*		
	waarover		bw*	*	B1*		
	waarschijnlijk		bnw*	waarschijnlijke; waarschijnlijker, waarschijnlijkst*	A2		
de	waarschijnlijkheid		znw*	waarschijnlijkheden; /*	B2*		
	waarschuwen		ww*	waarschuw, waarschuwde, gewaarschuwd*	B1		
de	waarschuwing		znw*	waarschuwingen; waarschuwinkje*	B1*		
	waartegen		bw*	*	B1*		
	waaruit		bw*	*	B2*		
	waarvan		bw*	*	B1*		
	waarvoor		bw*	*	B1*		
