	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	w					23ste letter van het alfabet		1
 	waaien				A2	wat de wind doet		2
de	waakhond							3
	waakzaam							4
de	Waal					persoon uit Wallonië (Franstalig deel van België)		5
	Waals							6
de	waan							7
de	waanzin							8
	waanzinnig							9
	waanzinnig							9
	waar				A1	op welke plaats		10
	waar		bnw		A2	juist, correct, echt		11
de	waar		znw			goederen		12
	waar-					... wat: bv. waarbij = bij wat, waarmee = met wat		13
	waaraan					aan + wat		14
	waarachtig							15
	waarbij					bij + wat		16
de	waarborg							17
	waarborgen							18
	waard				A2			19
de	waard							20
de	waarde				A2			21
	waardeloos							22
	waarderen							23
de	waardering							24
	waardevol							25
	waardig							26
de	waardin							27
	waardoor					door + wat		28
	waarheen					naar welke plaats?		29
de	waarheid				B1			30
	waarin							31
	waarmaken							32
	waarmee							33
	waarna							34
	waarnaar							35
	waarnemen				B1			36
de	waarneming							37
	waarom				A2			38
	waaronder							39
	waarop							40
	waarover							41
	waarschijnlijk				A2			42
de	waarschijnlijkheid							43
	waarschuwen				B1			44
de	waarschuwing							45
	waartegen							46
	waaruit							47
	waarvan							48
	waarvoor							49
het	waas							50
de	wacht							51
	wachten				A2			52
de	wachtkamer							53
de	wachtlijst							54
de	wachttijd							55
het	wachtwoord							56
de	wachtzaal							57
de	wad							58
het	waddeneiland							59
	waden							60
de	wafel							61
het	wafelijzer							62
	wagen				B2	riskeren; iets riskant proberen	Zou ik het wagen om een minirokje te dragen?	63
de	wagen				B1			64
	waggelen							65
de	wagon							66
de	Wajong							67
het	wak							68
	waken		ww					69
	waken over							70
	waken voor							71
	wakker				A2			72
de	wal							73
	walgelijk							74
	walgen							75
	Wallonië							76
de	walm							77
de	walnoot							78
de	wals							79
de	walvis							80
	wan-							81
het	wanbedrijf							82
de	wand							83
	wandelen							84
de	wandelgangen							85
de	wandeling							86
	wanen							87
de	wang							88
het	wangedrag							89
de	wanhoop							90
	wanhopig							91
	wankel							92
	wankelen							93
	wanneer		bw		A1			94
	wanneer		ovw		A2	als, op het moment dat		95
de	wanorde							96
	want				A2			97
de	want							98
	wantrouwen							99
het	wantrouwen							100
de	WAO							101
het	wapen				A2			102
	wapenen							103
	wapenen tegen							104
de	wapenstilstand							105
	wapperen							106
de	war							107
de	waren							108
het	warenhuis							109
	warm				A1			110
de	warmte							111
	warrig							112
	wars							113
de	wartaal							114
de	was		znw		A2	vuile kleren		115
de	was		znw			kneedbare natuurlijke stof		115
het	wasgoed							116
het	washandje							117
de	wasmachine							118
	wassen				A2			119
	wassen		bnw			van was gemaakt		120
de	wastafel							121
	wat		vnw		A1	welk ding?	Wat is je familienaam?	122
	wat		bw		A2	een beetje; iets	Ik heb wat gestudeerd.	123
