	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	z		znw*	z's; z'je*	A1	26ste en laatste letter van het alfabet	
het	zaad		znw*	zaden; zaadje*	B1*		
de	zaag		znw*	zagen; zaagje*	A2*		
het	zaagsel		znw*	/; /*	B1*		
	zaaien		ww*	zaai, zaaide, gezaaid*	B1*		
de	zaaier		znw*	zaaiers; /*	B2*		
de	zaak		znw*	zaken; zaakje*	A2*		
de	zaakvoerder		znw*	zaakvoerders; /*	B2*		
de	zaal		znw*	zalen; zaaltje*	A2*		
	zacht		bnw*	zachte; zachter, zachtst*	A2*	niet hard	
	zacht		bnw*	zachte; zachter, zachtst*	A2*	stil, niet luid	
	zacht		bnw*	zachte; zachter, zachtst*	A2*	mild	
	zacht		bnw*	zachte; zachter, zachtst*	A2*	traag, niet snel	
	zachtjes		bw*	*	A2*		
het	zadel		znw*	zadels; zadeltje*	B1*		
	zagen		ww*	zaag, zaagde, gezaagd*	A2*		
de	zak		znw*	zakken; zakje*	A1	🎒	
de	zakdoek		znw*	zakdoeken; zakdoekje*	A2*		
ter	zake						
	zakelijk		bnw*	zakelijke; zakelijker, zakelijkst*	B1*		
de	zaken					handel, business	
de	zakenman		znw*	zakenlieden; zakenmannetje*	B1*		
het	zakgeld		znw*	/; zakgeldje*	B1*		
	zakken		ww*	zak, zakte, gezakt*	A2*	dalen	
	zakken		ww*	zak, zakte, gezakt*	A2*	niet slagen	Jonas is gezakt voor zijn rijexamen.
het	zakmes		znw*	zakmessen; zakmesje*	B1*		
de	zalf		znw*	zalven; zalfje*	A2*		
	zalig		bnw*	zalige; zaliger, zaligst*	B2*		
de	zalm		znw; znw*	zalmen; zalmpje*	B1*		
het	zand		znw*	zanden; zandje*	A2*		
de	zandbak		znw*	zandbakken; zandbakje*	A2*		
de	zang		znw*	zangen; /*	B1*		
de	zanger		znw*	zangers; zangertje*	A2*	persoon die professioneel zingt	
de	zangstem		znw*	zangstemmen; zangstemmetje*	B2*		
de	zangvogel		znw*	zangvogels; zangvogeltje*	B1*		
	zaniken		ww*	zanik, zanikte, gezanikt*	B2*		
	zat		bnw; vnw; znw*	zatte; zatter, zatst*	A2*	dronken	
	zat		bnw; vnw; znw*	zatte; zatter, zatst*	A2*	beu	
	zat		bnw; vnw; znw*	zatte; zatter, zatst*	A2*	onnodig veel, meer dan genoeg	
	zaterdag		bw; znw*	*	A1	dag in het weekend	
	ze		vnw*	*	A2*		
