	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	z				A1	26ste en laatste letter van het alfabet		1
het	zaad							2
de	zaag							3
het	zaagsel							4
	zaaien							5
de	zaaier							6
de	zaak							7
de	zaakvoerder							8
de	zaal							9
	zacht					niet hard		10
	zacht					stil, niet luid		10
	zacht					mild		10
	zacht					traag, niet snel		10
	zachtjes							11
het	zadel							12
	zagen							13
de	zak				A1	🎒		14
de	zakdoek							15
ter	zake							16
	zakelijk							17
de	zaken					handel, business		18
de	zakenman							19
het	zakgeld							20
	zakken					dalen		21
	zakken					niet slagen	Jonas is gezakt voor zijn rijexamen.	21
het	zakmes							22
de	zalf							23
	zalig							24
de	zalm							25
het	zand							26
de	zandbak							27
de	zang							28
de	zanger					persoon die professioneel zingt		29
de	zangstem							30
de	zangvogel							31
	zaniken							32
	zat					dronken		33
	zat					beu		33
	zat					onnodig veel, meer dan genoeg		33
	zaterdag				A1	dag in het weekend		34
	ze							35
de	zebra							36
de	zede							37
de	zeden							38
de	zedenleer							39
de	zee							40
de	zeef							41
de	zeehond							42
de	zeeklas							43
het	zeeklimaat							44
de	zeep							45
	zeer					heel		46
het	zeer							47
ten	zeerste							48
de	zeespiegel							49
	zeeziek							50
de	zege							51
de	zegel							52
het	zegel							53
de	zegen							54
	zegenen							55
	zegevieren							56
	zeggen					woorden produceren		57
de	zeggenschap							58
het	zegje							59
de	zegsman							60
	zeiken					zeuren		61
	zeiken					(vulgair) plassen		61
het	zeil							62
	zeilen							63
de	zeis							64
	zeker							65
de	zekerheid							66
	zelden							67
	zeldzaam							68
	zelf							69
de	zelfbediening							70
de	zelfbeheersing							71
	zelfbewust							72
	zelfde							73
de	zelfmoord							74
het	zelfportret							75
de	zelfredzaamheid							76
de	zelfreflectie							77
	zelfs							78
	zelfstandig					autonoom		79
het	zelfvertrouwen							80
	zelfverzekerd							81
	zemen							82
	zenden							83
de	zender							84
de	zending							85
de	zendtijd							86
de	zenuw							87
	zenuwachtig							88
de	zerk				B2	grafsteen		89
	zes					6		90
	zesde							91
	zestien					16		92
	zestig					60		93
de	zet							94
de	zetel							95
	zetelen							96
de	zetpil							97
	zetten							98
de	zeug							99
	zeulen							100
	zeuren							101
	zeven							102
	zeven					7		102
	zevende							103
	zeventien					17		104
	zeventig					70		105
	zgn.					zogenaamd		106
	zich							107
het	zicht							108
	zichtbaar							109
	zichzelf							110
	ziedend							111
	ziek				A1			112
de	zieke							113
het	ziekenfonds							114
het	ziekenhuis							115
de	ziekenwagen							116
de	ziekte							117
de	ziektekosten							118
het	ziekteverzuim							119
de	ziektewet							120
de	ziel							121
	zielig							122
	zien							123
de	zigeuner							124
de	zigeunerin							125
	zij							126
de	zij					kant; =zijde		127
de	zijde					kant; =zij		128
	zijdelings							129
de	zijkant							130
de	zijlijn							131
	zijn				A1	van hem		132
	zijn		ww		A1	=	Waar zijn jullie? — Ik ben hier en Thomas is daar.	133
het	zijspoor							134
het	zilver							135
	zilveren							136
de	zin							137
de	zin							137
	zindelijk							138
	zingen							139
het	zink							140
	zinken		bnw					141
	zinken		ww					142
	zinloos							143
	zinnen							144
de	zinnen							145
	zinnen op							146
	zinnig							147
	zinspelen op							148
het	zintuig							149
	zinvol							150
de	zitplaats							151
	zitten							152
	zitten  aan							153
de	zitting							154
	z’n							155
	zo					op die manier		156
	zo					(+ adj.)		156
	zo					over een moment	Maak jij je al klaar; ik kom zo!	156
	zoal					onder andere, bijvoorbeeld		157
	zoals							158
	zodanig							159
	zodat							160
	zodoende							161
	zodra							162
	zoek							163
	zoeken							164
de	zoekmachine							165
de	zoektocht							166
	zoemen							167
de	zoen							168
	zoenen							169
	zoet							170
	zogeheten							171
	zogenaamd							172
	zogenoemd							173
	zoiets							174
	zojuist							175
	zolang							176
de	zolder							177
	zomaar							178
de	zomer							179
	zomers							180
de	zomertijd							181
de	zomervakantie							182
	zo’n							183
de	zon							184
de	zondag				A1	dag in het weekend		185
	zonde							186
de	zonde							187
de	zondebok							188
	zonder					↔ met		189
	zonderling							190
de	zone							191
het	zonlicht							192
de	zonnebank							193
de	zonnebloem							194
de	zonnebril							195
de	zonnecrème							196
het	zonnepaneel							197
	zonnig							198
het	zoogdier				B1	dier waarvan de baby in de buik groeit	Walvissen en dolfijnen zijn ook zoogdieren.	199
de	zooi							200
de	zool							201
de	zoom							202
de	zoon				A1	mannelijk kind		203
het	zootje							204
de	zorg							205
	zorgelijk							206
	zorgen							207
	zorgen voor							208
het	zorgverlof							209
de	zorgverzekeraar							210
	zorgvuldig							211
	zorgwekkend							212
	zorgzaam							213
	zot		bnw			dwaas, gek, raar		214
	zout		bnw					215
het	zout		znw			🧂		216
het	zoutje							217
	zoveel							218
	zoveelste							219
	zover							220
	zoverre							221
	zowaar							222
	zowat					niet helemaal, bijna		223
	zowel							224
	z.o.z.					zie ommezijde: draai het papier om		225
	zozeer							226
	z.s.m.					zo snel/spoedig mogelijk		227
de	zucht							228
	zuchten				B1			229
de	zuid							230
	zuidelijk							231
het	zuiden							232
de	zuigeling							233
	zuigen							234
de	zuil							235
	zuinig							236
	zuipen							237
de/het	zuivel				B2	melkproducten		238
	zuiver		bnw		B1	schoon en puur	zuiver water, zuiver bloed	239
	zuiver		bw			puur, niets anders dan 		240
	zuiveren		ww					241
	zulk							242
	zullen				A2			243
de	zus				A1			244
	zus of zo							245
de	zuster					religieuze dame		246
	zuur							247
het	zuur							248
de	zuurkool							249
de	zuurstof							250
	zwaaien							251
de	zwaan							252
	zwaar							253
het	zwaard							254
de	zwaargewicht							255
	zwaargewond							256
	zwaarmoedig							257
de	zwaarte							258
de	zwaartekracht							259
het	zwaartepunt							260
	zwaarwichtig							261
de	zwachtel							262
de	zwager							263
	zwak							264
het	zwak							265
	zwakzinnig							266
	zwalken							267
de	zwaluw							268
	zwammen							269
de	zwang							270
	zwanger							271
de	zwangerschap							272
het	zwangerschapsverlof							273
	zwart							274
	zwartrijden							275
	zwartwit							276
de	zwavel							277
de	zweep							278
de	zweer							279
het	zweet							280
	zwellen							281
de	zwelling							282
het	zwembad							283
	zwemmen							284
de	zwendel							285
	zwenken							286
	zweren							287
	zweren							287
	zweren bij							288
de	zwerm							289
	zwerven							290
de	zwerver							291
	zweten							292
	zwetsen							293
	zweven							294
	zwichten							295
	zwieren							296
	zwierig							297
	zwijgen				B1	niet spreken; niets zeggen	In de stille ruimte van de bieb moet je zwijgen.	298
	zwijgzaam							299
het	zwijn				B2	soort varken		300
de	Zwitser					man uit Zwitserland	Mijn tante is getrouwd met een Zwitser.	301
	Zwitserland					land tussen Duitsland en Italië	Zwitserland heeft vier officiële talen.	302
	Zwitsers					uit Zwitserland	De Zwitserse frank is ongeveer €1.	303
	zwoegen				B2	hard werken met veel moeite	Ik heb echt gezwoegd op mijn examen!	304
	zwoel				B2	vochtig warm	Het was een zwoele zomeravond.	305
	zwoel				B2	erotisch	Ze sturen zwoele foto’s naar elkaar.	305
de	zzp'er							306
